track	t_best	t0	t1	bbox	score	lat	lon	alt
0	59.2	53.1	59.2	193,1027,49,38	2628.1	39.4847821	73.5946630	5007.9
1	54.1	53.1	60.2	193,1009,32,18	1729.6	39.4848339	73.5946855	5007.4
2	56.1	50.1	79.2	896,123,21,22	1339.6	39.4848274	73.5946820	5007.4
3	71.2	58.2	79.2	871,257,18,32	1256.2	39.4844849	73.5945342	5015.6
4	55.1	53.1	59.2	615,1017,26,24	1138.2	39.4848331	73.5946847	5007.4
5	22.1	18.0	24.1	493,401,44,28	1089.5	39.4851555	73.5948034	5007.3
6	64.2	54.1	73.2	801,169,24,16	871.7	39.4846767	73.5946162	5010.5
7	16.0	16.0	17.0	0,751,24,22	837.6	39.4851551	73.5948033	5007.3
8	41.1	31.1	47.1	1730,916,19,16	761.5	39.4848325	73.5946855	5007.4
9	19.1	19.1	23.1	225,497,16,16	719.6	39.4851554	73.5948036	5007.2
10	13.0	6.0	13.0	0,745,17,24	626.9	39.4851549	73.5948034	5007.3
11	20.1	19.1	24.1	790,456,14,16	563.5	39.4851555	73.5948037	5007.3
12	54.1	53.1	59.2	697,1073,24,7	540.1	39.4848339	73.5946855	5007.4
13	49.1	49.1	49.1	14,806,27,11	540.0	39.4848336	73.5946862	5007.4
14	12.0	6.0	15.0	0,745,21,22	533.7	39.4851548	73.5948035	5007.2
15	11.0	8.0	11.0	105,809,16,26	532.6	39.4851548	73.5948036	5007.2
16	56.1	53.1	59.2	288,985,9,16	465.7	39.4848274	73.5946820	5007.4
17	54.1	53.1	59.2	793,977,24,16	438.5	39.4848339	73.5946855	5007.4
18	49.1	49.1	49.1	1015,84,12,25	406.4	39.4848336	73.5946862	5007.4
19	21.1	19.1	24.1	499,407,30,12	399.3	39.4851555	73.5948034	5007.3
20	6.0	6.0	7.0	321,707,14,14	387.1	39.4851546	73.5948041	5007.3
21	63.2	63.2	65.2	148,221,15,9	316.4	39.4847003	73.5946263	5009.8
22	59.2	54.1	60.2	789,1015,20,8	315.5	39.4847821	73.5946630	5007.9
23	24.1	22.1	24.1	501,424,17,11	312.6	39.4851489	73.5948027	5007.4
24	71.2	70.2	78.2	929,297,8,14	294.5	39.4844849	73.5945342	5015.6
25	59.2	59.2	59.2	409,1049,12,8	248.1	39.4847821	73.5946630	5007.9
26	79.2	57.2	79.2	675,307,14,14	247.3	39.4842942	73.5944457	5018.4
27	59.2	51.1	66.2	670,137,27,6	230.9	39.4847821	73.5946630	5007.9
28	53.1	49.1	53.1	995,1051,14,6	211.0	39.4848339	73.5946856	5007.4
29	79.2	75.2	79.2	853,345,11,8	209.1	39.4842942	73.5944457	5018.4
