track	t_best	t0	t1	bbox	score	lat	lon	alt
0	30.0	30.0	30.0	549,387,232,130	35173.4			
1	31.0	31.0	31.0	631,269,250,138	33159.6			
2	34.0	33.0	34.0	712,299,305,156	32021.2			
3	29.0	29.0	29.0	340,33,211,116	27927.4			
4	27.0	27.0	27.0	832,387,176,100	27095.5			
5	36.0	35.0	36.0	1031,152,188,107	26824.4			
6	28.0	28.0	28.0	639,353,190,105	26278.3			
7	32.0	29.0	32.0	359,33,222,116	26192.3			
8	37.0	37.0	38.0	1053,175,66,41	7595.0			
9	38.0	38.0	38.0	1719,943,118,137	7275.6			
10	35.0	32.0	37.0	1389,813,146,90	6635.7			
11	35.0	35.0	35.0	1477,359,224,64	5372.8			
12	37.0	35.0	37.0	1697,431,96,160	4257.7			
13	43.0	43.0	43.0	1797,284,52,59	3925.4			
14	40.0	40.0	41.0	363,205,88,88	3672.6			
15	35.0	35.0	35.0	1825,483,95,88	3177.3			
16	38.0	38.0	38.0	1861,853,46,64	3050.8			
17	19.0	19.0	19.0	1763,513,42,34	2995.0			
18	35.0	35.0	35.0	367,1041,72,39	2871.0			
19	14.0	14.0	14.0	1417,173,90,42	2467.1			
20	35.0	35.0	35.0	1179,613,52,52	2431.8			
21	42.0	42.0	42.0	1881,849,39,64	2350.0			
22	26.0	26.0	26.0	1311,353,36,28	2288.5			
23	30.0	27.0	30.0	1017,228,72,21	2202.9			
24	33.0	33.0	33.0	41,0,52,11	1977.0			
25	29.0	29.0	30.0	1807,846,37,49	1931.7			
26	28.0	27.0	28.0	1035,237,84,14	1796.0			
27	32.0	32.0	32.0	1565,65,36,22	1720.4			
28	12.0	11.0	12.0	1197,149,80,34	1683.0			
29	28.0	27.0	28.0	1691,443,40,24	1677.0			
30	16.0	16.0	17.0	527,105,67,74	1661.9			
31	15.0	14.0	15.0	1459,151,96,24	1638.7			
32	38.0	34.0	38.0	1849,657,37,23	1597.3			
33	35.0	35.0	35.0	1897,613,23,30	1318.1			
34	14.0	13.0	15.0	653,157,36,28	1315.8			
35	15.0	14.0	17.0	941,175,33,22	1283.3			
36	16.0	15.0	17.0	903,19,66,14	1244.1			
37	40.0	40.0	41.0	1037,95,70,14	1225.3			
38	22.0	22.0	23.0	1333,427,20,20	1214.0			
39	15.0	15.0	15.0	1081,165,64,20	1213.8			
40	18.0	17.0	18.0	562,1019,25,20	1212.1			
41	39.0	38.0	39.0	823,199,72,16	1156.8			
42	43.0	43.0	43.0	699,349,62,32	1140.3			
43	35.0	35.0	37.0	1297,449,44,47	1121.6			
44	35.0	33.0	35.0	351,233,26,30	1097.8			
45	21.0	21.0	21.0	1591,955,20,18	1082.9			
46	12.0	11.0	12.0	1197,71,74,10	1051.1			
47	35.0	35.0	35.0	1767,445,50,28	1047.7			
48	0.0	0.0	0.0	185,0,48,21	1043.0			
49	15.0	14.0	15.0	883,263,62,16	1030.2			
50	29.0	28.0	29.0	1506,120,36,21	1029.6			
51	10.0	10.0	10.0	1113,65,86,30	1028.1			
52	13.0	13.0	13.0	733,31,44,24	1023.1			
53	39.0	39.0	39.0	569,11,44,36	967.0			
54	19.0	19.0	19.0	1763,447,18,20	961.4			
55	42.0	42.0	42.0	111,803,22,24	948.3			
56	33.0	33.0	37.0	617,0,32,19	940.5			
57	12.0	11.0	12.0	1127,137,54,12	901.6			
58	43.0	40.0	43.0	969,51,21,24	889.4			
59	42.0	42.0	42.0	1825,973,16,24	886.4			
60	30.0	30.0	30.0	1899,865,21,32	878.4			
61	17.0	16.0	17.0	483,155,26,48	864.0			
62	33.0	33.0	33.0	95,1043,19,18	859.6			
63	34.0	34.0	35.0	1523,393,26,20	855.3			
64	40.0	40.0	40.0	647,0,36,23	834.4			
65	16.0	16.0	16.0	1281,0,32,11	830.6			
66	16.0	16.0	17.0	1155,57,40,12	818.0			
67	14.0	14.0	15.0	584,157,31,16	811.7			
68	14.0	14.0	15.0	732,157,53,22	809.0			
69	37.0	37.0	37.0	1851,295,30,36	806.3			
70	37.0	37.0	37.0	1673,593,23,36	799.6			
71	22.0	22.0	22.0	169,944,22,23	796.2			
72	35.0	35.0	35.0	363,971,27,12	792.7			
73	3.0	2.0	3.0	457,49,56,22	787.0			
74	42.0	42.0	42.0	1207,308,74,9	786.2			
75	12.0	11.0	12.0	1126,84,59,13	783.9			
76	40.0	40.0	40.0	917,461,23,23	774.5			
77	35.0	35.0	35.0	1088,777,15,22	771.1			
78	15.0	15.0	15.0	519,293,30,20	758.3			
79	17.0	17.0	17.0	747,697,18,22	749.4			
80	23.0	23.0	23.0	208,1019,36,23	747.2			
81	39.0	39.0	40.0	479,115,38,20	745.0			
82	7.0	7.0	8.0	928,41,47,10	738.0			
83	9.0	9.0	9.0	1833,55,16,18	737.4			
84	14.0	13.0	14.0	1591,233,20,24	729.9			
85	31.0	31.0	31.0	1345,245,22,10	711.3			
86	17.0	16.0	17.0	567,41,38,17	708.4			
87	25.0	25.0	25.0	443,1024,24,23	705.9			
88	16.0	16.0	16.0	1059,13,22,12	684.4			
89	34.0	34.0	36.0	1857,341,29,16	676.6			
90	8.0	7.0	8.0	216,167,55,6	661.9			
91	31.0	31.0	31.0	1274,405,21,15	655.8			
92	43.0	42.0	43.0	1145,181,31,18	655.8			
93	41.0	41.0	41.0	129,993,20,32	655.2			
94	22.0	22.0	22.0	699,523,32,20	651.3			
95	10.0	10.0	12.0	697,17,32,8	632.9			
96	20.0	18.0	20.0	13,273,18,15	629.0			
