track	t_best	t0	t1	bbox	score	lat	lon	alt
0	176.2	176.2	177.2	983,498,74,54	6519.2	39.4763990	73.5950882	5380.7
1	173.2	168.2	175.2	961,762,78,55	6292.9	39.4763993	73.5950886	5380.7
2	9.0	0.0	9.0	965,17,52,40	4278.3	39.4763952	73.5950894	5374.8
3	175.2	175.2	175.2	991,529,42,48	3875.8	39.4763991	73.5950883	5380.7
4	114.1	114.1	114.1	441,152,43,40	3772.0	39.4763982	73.5950874	5380.7
5	188.2	188.2	188.2	1013,455,49,50	3158.0	39.4764001	73.5950875	5380.7
6	189.2	189.2	200.2	965,512,36,33	2027.3	39.4764003	73.5950874	5380.7
7	68.1	68.1	70.1	769,27,28,38	1967.5	39.4763965	73.5950913	5380.8
8	67.1	67.1	69.1	1190,17,35,26	1470.8	39.4763967	73.5950914	5380.8
9	178.2	178.2	178.2	1371,9,35,28	1325.3	39.4763987	73.5950882	5380.7
10	112.1	112.1	115.1	1217,496,12,35	1274.6	39.4763977	73.5950874	5380.7
11	146.2	141.2	146.2	1313,100,16,66	1257.8	39.4763968	73.5950894	5380.7
12	3.0	0.0	7.0	833,689,24,16	1207.7	39.4763944	73.5950897	5374.7
13	147.2	146.2	148.2	1306,0,11,33	1067.3	39.4763972	73.5950893	5380.7
14	7.0	0.0	8.0	785,305,17,24	1028.4	39.4763948	73.5950900	5374.8
15	63.1	62.1	65.1	198,944,16,22	1003.4	39.4763944	73.5950914	5380.8
16	21.0	20.0	22.0	817,401,16,17	957.5	39.4763990	73.5950873	5374.8
17	181.2	181.2	184.2	1257,195,17,20	939.7	39.4763988	73.5950879	5380.7
18	141.2	135.2	142.2	1393,199,16,18	804.1	39.4763972	73.5950897	5380.8
19	159.2	153.2	161.2	1185,297,16,38	794.4	39.4763975	73.5950900	5380.7
20	19.0	19.0	19.0	785,401,16,18	773.7	39.4763990	73.5950876	5374.8
21	4.0	4.0	4.0	961,585,16,16	764.1	39.4763942	73.5950900	5374.8
22	66.1	66.1	67.1	457,907,14,22	729.3	39.4763960	73.5950913	5380.8
23	71.1	71.1	76.1	1271,778,13,23	719.5	39.4763976	73.5950912	5380.8
24	6.0	0.0	8.0	757,401,12,22	677.4	39.4763944	73.5950900	5374.8
25	15.0	11.0	16.0	833,451,16,16	667.3	39.4763980	73.5950882	5374.8
26	160.2	158.2	167.2	977,587,16,14	626.8	39.4763973	73.5950901	5380.7
27	52.1	42.0	53.1	736,961,17,16	621.1	39.4763961	73.5950892	5380.8
28	181.2	181.2	181.2	1697,920,15,21	608.8	39.4763988	73.5950879	5380.7
29	108.1	108.1	108.1	273,374,16,13	602.3	39.4763977	73.5950878	5380.7
30	17.0	17.0	18.0	705,449,16,16	592.6	39.4763982	73.5950877	5374.7
31	17.0	17.0	18.0	689,529,16,25	587.0	39.4763982	73.5950877	5374.7
32	149.2	149.2	149.2	1249,0,9,17	580.9	39.4763984	73.5950892	5380.8
33	160.2	160.2	163.2	1841,1009,12,16	570.7	39.4763973	73.5950901	5380.7
34	152.2	151.2	155.2	871,673,10,24	546.0	39.4763993	73.5950890	5380.7
35	128.1	125.1	128.1	1695,0,17,11	535.1	39.4763994	73.5950889	5380.7
36	5.0	3.0	5.0	913,161,16,8	533.8	39.4763942	73.5950901	5374.8
37	179.2	179.2	179.2	1889,318,19,13	528.0	39.4763986	73.5950881	5380.7
38	180.2	180.2	180.2	1567,261,12,12	522.0	39.4763986	73.5950881	5380.7
39	112.1	112.1	112.1	1225,737,8,24	514.4	39.4763977	73.5950874	5380.7
40	19.0	19.0	19.0	1150,1020,8,48	505.4	39.4763990	73.5950876	5374.8
41	60.1	51.1	61.1	587,629,14,13	504.0	39.4763945	73.5950910	5380.8
42	141.2	138.2	141.2	1265,63,24,14	497.8	39.4763972	73.5950897	5380.8
43	4.0	1.0	4.0	1177,161,8,16	486.0	39.4763942	73.5950900	5374.8
44	152.2	147.2	153.2	1097,129,16,9	483.4	39.4763993	73.5950890	5380.7
45	112.1	112.1	112.1	1421,24,13,24	482.8	39.4763977	73.5950874	5380.7
46	183.2	181.2	197.2	1285,367,14,38	479.4	39.4763991	73.5950880	5380.7
47	110.1	110.1	111.1	1836,600,15,19	471.2	39.4763977	73.5950877	5380.7
48	33.0	30.0	34.0	562,535,15,13	466.5	39.4763979	73.5950883	5380.7
49	71.1	71.1	75.1	1061,945,10,19	463.6	39.4763976	73.5950912	5380.8
50	108.1	108.1	109.1	309,961,12,22	458.7	39.4763977	73.5950878	5380.7
51	147.2	147.2	148.2	1241,641,8,16	456.5	39.4763972	73.5950893	5380.7
52	14.0	10.0	19.0	951,145,10,24	453.5	39.4763973	73.5950883	5374.8
53	63.1	63.1	65.1	200,865,15,17	450.0	39.4763944	73.5950914	5380.8
54	159.2	155.2	162.2	917,369,12,16	443.4	39.4763975	73.5950900	5380.7
55	159.2	153.2	161.2	929,273,16,8	440.9	39.4763975	73.5950900	5380.7
56	117.1	117.1	124.1	1001,153,8,16	436.7	39.4763992	73.5950878	5380.7
57	10.0	9.0	10.0	953,49,8,16	428.4	39.4763960	73.5950892	5374.8
58	66.1	66.1	66.1	571,473,12,17	423.6	39.4763960	73.5950913	5380.8
59	40.0	39.0	40.0	1057,663,16,10	399.7	39.4763979	73.5950884	5380.8
60	67.1	67.1	67.1	1142,167,30,8	392.4	39.4763967	73.5950914	5380.8
61	35.0	35.0	35.0	1089,753,13,16	381.9	39.4763983	73.5950877	5380.9
62	33.0	32.0	34.0	673,305,8,16	381.0	39.4763979	73.5950883	5380.7
63	3.0	1.0	3.0	1121,17,8,16	372.9	39.4763944	73.5950897	5374.7
64	176.2	176.2	177.2	1033,487,11,13	367.8	39.4763990	73.5950882	5380.7
65	67.1	67.1	67.1	561,0,15,7	363.7	39.4763967	73.5950914	5380.8
66	35.0	33.0	40.0	897,417,13,15	363.4	39.4763983	73.5950877	5380.9
67	121.1	117.1	127.1	81,545,15,16	362.8	39.4763998	73.5950888	5380.7
68	36.0	36.0	38.0	1559,449,10,16	356.8	39.4763982	73.5950877	5380.9
69	151.2	146.2	158.2	1305,937,12,11	353.6	39.4763995	73.5950890	5380.8
70	4.0	1.0	7.0	961,657,16,6	352.4	39.4763942	73.5950900	5374.8
71	86.1	82.1	90.1	857,686,14,18	350.5	39.4763959	73.5950899	5380.7
72	151.2	150.2	155.2	1255,790,10,13	349.9	39.4763995	73.5950890	5380.8
73	0.0	0.0	5.0	1577,721,13,16	348.7	39.4763941	73.5950893	5374.7
74	162.2	157.2	167.2	1249,344,16,9	347.7	39.4763971	73.5950901	5380.7
75	32.0	23.0	32.0	981,1057,10,17	345.4	39.4763979	73.5950883	5379.5
76	117.1	117.1	125.1	903,537,10,15	345.1	39.4763992	73.5950878	5380.7
77	16.0	16.0	16.0	1126,1006,7,45	343.4	39.4763983	73.5950878	5374.8
78	121.1	119.1	130.2	953,1025,16,16	338.5	39.4763998	73.5950888	5380.7
79	10.0	9.0	10.0	936,30,17,10	333.4	39.4763960	73.5950892	5374.8
80	147.2	141.2	148.2	1713,179,8,14	332.5	39.4763972	73.5950893	5380.7
81	108.1	108.1	108.1	1011,865,14,16	331.8	39.4763977	73.5950878	5380.7
82	127.1	127.1	127.1	1721,273,8,16	331.5	39.4763997	73.5950890	5380.7
83	55.1	43.1	55.1	881,1026,9,16	331.4	39.4763953	73.5950898	5380.8
84	77.1	75.1	84.1	980,855,10,10	331.0	39.4763974	73.5950905	5380.8
85	116.1	116.1	116.1	1369,633,10,15	330.6	39.4763987	73.5950876	5380.8
86	158.2	153.2	160.2	1164,420,8,21	330.6	39.4763984	73.5950899	5380.7
87	65.1	63.1	65.1	135,999,11,18	328.2	39.4763955	73.5950914	5380.8
88	116.1	116.1	116.1	1225,511,22,9	324.3	39.4763987	73.5950876	5380.8
89	117.1	117.1	127.1	1025,482,8,14	321.8	39.4763992	73.5950878	5380.7
90	61.1	61.1	61.1	715,929,6,16	319.4	39.4763944	73.5950911	5380.8
91	90.1	83.1	90.1	1025,60,8,20	319.2	39.4763960	73.5950893	5380.8
92	117.1	117.1	126.1	1787,551,12,14	317.4	39.4763992	73.5950878	5380.7
93	80.1	76.1	83.1	961,529,14,8	315.1	39.4763968	73.5950902	5380.8
94	140.2	139.2	140.2	1272,164,9,21	314.6	39.4763971	73.5950896	5380.8
95	150.2	149.2	150.2	1626,0,11,9	313.1	39.4763989	73.5950891	5380.8
96	163.2	160.2	173.2	921,781,10,12	310.1	39.4763971	73.5950901	5380.7
97	79.1	77.1	79.1	1015,226,12,15	305.6	39.4763972	73.5950901	5380.7
98	71.1	71.1	71.1	769,481,8,16	303.7	39.4763976	73.5950912	5380.8
99	8.0	5.0	8.0	698,66,11,24	301.1	39.4763952	73.5950897	5374.8
100	120.1	120.1	123.1	913,353,16,8	291.9	39.4763999	73.5950886	5380.7
