track	t_best	t0	t1	bbox	score	lat	lon	alt
0	11.0	11.0	14.0	1710,213,210,590	23014.0			
1	10.0	8.0	10.0	1613,0,210,803	21670.8			
2	7.0	7.0	7.0	1582,0,179,665	16089.3			
3	15.0	12.0	15.0	1685,821,222,126	8036.1			
4	0.0	0.0	0.0	1889,761,20,203	5588.1			
5	11.0	7.0	17.0	1686,520,83,167	5363.3			
6	0.0	0.0	0.0	1907,473,13,240	4624.7			
7	17.0	16.0	23.0	1700,593,71,174	4395.1			
8	19.0	18.0	20.0	1855,613,65,154	3829.8			
9	11.0	7.0	14.0	1578,535,55,160	3689.2			
10	18.0	18.0	20.0	1668,785,93,160	3488.1			
11	21.0	21.0	23.0	1836,569,41,133	2802.5			
12	22.0	22.0	22.0	1867,686,53,88	2496.4			
13	30.0	29.0	30.0	1834,1056,86,24	2467.6			
14	24.0	24.0	28.0	1676,263,92,180	2449.6			
15	15.0	7.0	15.0	1741,679,56,154	2437.6			
16	12.0	12.0	14.0	1865,161,16,105	2402.8			
17	18.0	17.0	18.0	1899,457,21,174	2381.3			
18	18.0	18.0	18.0	1885,689,18,80	1560.9			
19	3.0	3.0	3.0	1796,255,109,15	1489.6			
20	8.0	7.0	20.0	1295,557,20,101	1301.9			
21	24.0	24.0	28.0	1865,163,55,26	1275.6			
22	19.0	19.0	19.0	15,0,20,43	1253.8			
23	16.0	16.0	16.0	0,881,59,12	1224.5			
24	24.0	24.0	24.0	757,555,60,23	1169.1			
25	15.0	15.0	15.0	1907,731,13,76	1089.0			
26	13.0	12.0	13.0	1841,65,8,70	1071.7			
27	12.0	11.0	14.0	1860,273,11,46	1016.3			
28	23.0	23.0	23.0	1054,745,49,30	992.2			
29	23.0	21.0	23.0	1709,633,14,76	984.2			
30	13.0	12.0	14.0	1831,311,10,30	982.3			
31	20.0	20.0	21.0	1117,545,57,22	923.2			
32	22.0	22.0	22.0	1085,705,31,17	814.0			
33	16.0	16.0	16.0	1793,675,16,59	778.6			
34	14.0	13.0	14.0	1409,1001,72,6	772.5			
35	17.0	17.0	17.0	1905,89,8,60	728.5			
36	17.0	17.0	17.0	1907,25,8,56	715.7			
37	16.0	12.0	16.0	161,889,46,10	696.1			
38	14.0	12.0	14.0	1525,1003,60,6	682.8			
39	7.0	7.0	8.0	105,650,10,24	621.7			
40	14.0	7.0	14.0	1610,1003,41,6	578.9			
41	19.0	19.0	19.0	1159,11,31,8	558.2			
42	18.0	17.0	18.0	1897,637,10,36	557.6			
43	20.0	16.0	21.0	1347,604,36,19	547.7			
44	24.0	24.0	24.0	888,583,41,8	546.8			
45	23.0	23.0	23.0	1257,788,18,27	524.6			
46	3.0	3.0	4.0	1337,161,36,16	514.0			
47	26.0	26.0	29.0	49,415,25,18	495.0			
48	14.0	14.0	14.0	1305,999,62,4	485.6			
49	20.0	16.0	20.0	1862,791,43,30	483.6			
50	26.0	26.0	26.0	77,982,8,17	451.4			
