track	t_best	t0	t1	bbox	score	lat	lon	alt
0	7.0	7.0	7.0	37,754,36,32	2845.4			
1	7.0	7.0	7.0	43,1037,26,14	976.1			
2	23.0	21.0	23.0	57,423,24,19	867.0			
3	8.0	8.0	8.0	1881,893,22,24	650.2			
4	14.0	12.0	14.0	1905,899,11,18	490.4			
5	33.0	33.0	33.0	129,145,8,16	483.2			
6	8.0	8.0	10.0	1901,566,12,21	472.2			
7	4.0	4.0	4.0	1721,351,16,12	407.2			
8	7.0	7.0	7.0	193,906,10,9	306.8			
9	6.0	6.0	7.0	105,836,16,17	303.6			
10	13.0	13.0	13.0	0,211,33,6	289.8			
11	12.0	12.0	12.0	1709,951,10,19	284.3			
12	23.0	23.0	23.0	97,435,13,10	258.3			
13	15.0	15.0	15.0	1090,703,12,11	241.6			
14	33.0	33.0	33.0	193,193,8,8	238.3			
15	14.0	14.0	14.0	1561,1071,16,9	229.3			
16	9.0	9.0	9.0	325,365,6,20	215.3			
17	11.0	11.0	11.0	739,248,21,14	214.9			
18	32.0	32.0	32.0	301,0,16,9	209.6			
19	14.0	10.0	14.0	1865,849,9,12	206.6			
20	12.0	12.0	12.0	1775,1049,10,8	202.7			
21	7.0	7.0	7.0	193,1067,10,8	198.6			
22	14.0	10.0	14.0	1869,729,11,12	188.7			
23	12.0	12.0	12.0	1629,1073,10,7	176.8			
24	25.0	25.0	25.0	1265,865,7,8	175.7			
25	33.0	33.0	33.0	21,97,8,6	175.4			
26	23.0	23.0	23.0	1195,161,6,8	172.0			
27	6.0	6.0	7.0	89,797,8,8	169.4			
28	25.0	24.0	25.0	1257,65,8,8	164.9			
29	7.0	5.0	7.0	0,1013,9,6	155.0			
30	23.0	23.0	23.0	943,179,10,10	150.9			
31	9.0	9.0	9.0	403,317,10,12	142.0			
32	30.0	30.0	30.0	69,1037,12,8	139.1			
33	7.0	7.0	7.0	35,926,10,5	135.5			
34	23.0	21.0	23.0	739,257,6,6	126.6			
35	32.0	32.0	32.0	381,33,4,8	121.3			
36	11.0	11.0	11.0	213,971,14,6	120.1			
37	25.0	25.0	25.0	1269,249,4,8	107.6			
38	12.0	12.0	14.0	1905,1072,8,8	99.2			
39	11.0	11.0	11.0	1635,195,6,6	96.8			
40	10.0	10.0	10.0	1901,163,4,6	96.7			
41	21.0	21.0	21.0	473,49,4,8	95.3			
42	8.0	8.0	10.0	1834,629,7,8	94.2			
43	21.0	21.0	21.0	625,5,8,4	91.4			
44	12.0	12.0	12.0	1805,933,8,4	90.9			
45	27.0	27.0	27.0	1443,1077,13,3	89.7			
46	14.0	14.0	14.0	1453,985,5,8	83.1			
47	11.0	11.0	11.0	653,305,4,7	82.0			
48	24.0	24.0	26.0	1271,1051,6,8	79.3			
49	25.0	25.0	26.0	1221,929,4,8	79.2			
50	12.0	12.0	12.0	1762,1071,7,6	78.1			
51	14.0	14.0	14.0	1801,693,7,6	77.2			
52	24.0	24.0	24.0	1391,757,8,6	75.8			
53	20.0	20.0	20.0	115,703,6,6	73.0			
54	25.0	25.0	25.0	1251,492,6,5	71.2			
55	30.0	30.0	30.0	145,1037,8,4	70.3			
56	26.0	26.0	26.0	113,1025,14,2	68.8			
57	24.0	24.0	26.0	1299,916,6,5	67.4			
58	24.0	24.0	24.0	1452,417,7,6	66.4			
