track	t_best	t0	t1	bbox	score	lat	lon	alt
0	380.4	368.4	382.4	1383,854,44,83	7633.6	39.4813795	73.5951062	5107.6
1	289.3	287.3	289.3	818,297,91,108	6911.9	39.4813777	73.5951080	5107.6
2	87.1	86.1	89.1	1097,965,56,76	6846.1	39.4813754	73.5951115	5107.6
3	535.6	535.6	537.6	751,534,82,47	5684.2	39.4814226	73.5953919	5107.6
4	543.6	541.6	543.6	867,609,76,52	5550.8	39.4814222	73.5953912	5107.6
5	676.8	675.8	677.8	69,23,78,78	5214.4	39.4814223	73.5953892	5107.6
6	398.4	394.4	407.5	855,518,70,52	4716.9	39.4813787	73.5951059	5107.6
7	387.4	386.4	392.4	461,337,56,48	4716.3	39.4813792	73.5951063	5107.6
8	101.1	100.1	107.1	897,729,48,66	4523.5	39.4813765	73.5951116	5107.6
9	480.5	478.5	482.5	929,569,76,38	4471.1	39.4813771	73.5951047	5107.6
10	545.6	543.6	546.6	871,635,55,38	4385.8	39.4814222	73.5953910	5107.6
11	598.7	581.7	600.7	1433,147,64,32	4247.1	39.4814216	73.5953903	5107.6
12	464.5	461.5	467.5	793,483,50,36	4189.2	39.4813785	73.5951056	5107.6
13	433.5	430.5	438.5	449,429,48,46	4186.0	39.4813782	73.5951060	5107.6
14	564.6	560.6	567.6	1345,263,100,26	4131.8	39.4814209	73.5953903	5107.6
15	527.6	522.6	531.6	1629,113,82,26	4115.7	39.4814222	73.5953917	5107.6
16	406.5	394.4	407.5	851,527,50,41	4096.3	39.4813794	73.5951059	5107.6
17	574.6	572.6	574.6	77,0,51,64	4075.7	39.4814212	73.5953908	5107.6
18	576.6	576.6	580.7	1487,194,80,24	4062.3	39.4814212	73.5953907	5107.6
19	570.6	570.6	570.6	1345,99,64,30	4005.8	39.4814216	73.5953906	5107.6
20	737.8	737.8	737.8	1857,17,63,56	3924.0	39.4814240	73.5953888	5107.6
21	385.4	385.4	385.4	739,441,62,40	3856.4	39.4813794	73.5951065	5107.6
22	462.5	462.5	467.5	135,1041,76,39	3659.9	39.4813787	73.5951056	5107.6
23	390.4	390.4	392.4	583,709,58,29	3474.1	39.4813788	73.5951058	5107.6
24	574.6	572.6	582.7	943,549,82,34	3471.6	39.4814212	73.5953908	5107.6
25	532.6	524.6	537.6	1463,183,58,22	3376.4	39.4814226	73.5953915	5107.6
26	418.5	411.5	420.5	845,530,52,39	3359.5	39.4813788	73.5951060	5107.6
27	525.6	524.6	530.6	0,577,34,50	3358.9	39.4814222	73.5953917	5107.6
28	707.8	704.8	713.8	881,1049,62,24	3329.4	39.4814224	73.5953887	5107.6
29	686.8	686.8	686.8	88,59,44,60	3286.1	39.4814226	73.5953890	5107.6
30	288.3	287.3	289.3	873,138,80,97	3266.2	39.4813776	73.5951081	5107.6
31	386.4	386.4	390.4	1378,933,35,60	3240.1	39.4813793	73.5951064	5107.6
32	538.6	538.6	538.6	7,283,30,44	3211.7	39.4814228	73.5953917	5107.6
33	415.5	413.5	420.5	785,493,48,40	3202.7	39.4813786	73.5951060	5107.6
34	695.8	694.8	696.8	1463,839,42,36	3188.3	39.4814230	73.5953887	5107.6
35	290.3	290.3	291.3	896,405,78,90	3171.7	39.4813778	73.5951080	5107.6
36	613.7	612.7	613.7	743,713,44,72	3162.0	39.4814215	73.5953893	5107.6
37	726.8	725.8	726.8	756,937,34,56	3130.4	39.4814234	73.5953890	5107.6
38	289.3	288.3	290.3	1585,93,52,38	3037.6	39.4813777	73.5951080	5107.6
39	554.6	552.6	555.6	153,737,32,58	3031.7	39.4814213	73.5953903	5107.6
40	685.8	684.8	685.8	35,24,54,37	3018.9	39.4814225	73.5953889	5107.6
