track	t_best	t0	t1	bbox	score	lat	lon	alt
0	16.0	16.0	16.0	657,727,236,150	41473.7			
1	14.0	14.0	14.0	1457,361,226,114	35709.6			
2	15.0	15.0	15.0	1517,253,224,124	34050.7			
3	17.0	17.0	17.0	1019,424,218,121	31053.2			
4	22.0	22.0	22.0	1213,395,304,166	29658.3			
5	23.0	20.0	23.0	775,449,236,135	29188.3			
6	34.0	34.0	35.0	1631,843,240,114	21052.3			
7	35.0	33.0	35.0	1737,741,80,170	18531.4			
8	34.0	33.0	34.0	1695,991,225,64	12680.1			
9	32.0	32.0	32.0	145,0,160,59	11790.8			
10	34.0	34.0	34.0	1521,985,76,78	10108.3			
11	20.0	20.0	20.0	721,303,72,42	8489.3			
12	35.0	35.0	35.0	297,11,32,132	8478.3			
13	33.0	33.0	33.0	1503,649,201,42	8159.5			
14	13.0	13.0	17.0	813,317,72,38	8142.0			
15	12.0	10.0	12.0	177,245,70,40	8132.0			
16	19.0	19.0	19.0	1069,133,70,38	7422.6			
17	31.0	31.0	31.0	1267,974,94,64	7308.9			
18	18.0	14.0	18.0	1049,192,66,35	6857.2			
19	32.0	32.0	33.0	290,59,95,50	6378.7			
20	36.0	36.0	37.0	1743,0,80,91	5734.1			
21	33.0	32.0	33.0	0,135,31,100	5695.1			
22	33.0	33.0	33.0	0,963,39,117	4915.8			
23	35.0	35.0	35.0	703,337,64,30	3481.4			
24	34.0	31.0	34.0	1437,429,124,45	3434.4			
25	35.0	35.0	35.0	1757,1017,38,63	3204.0			
26	35.0	35.0	35.0	1713,693,60,44	3199.7			
27	36.0	36.0	36.0	1853,893,67,36	3146.0			
28	30.0	30.0	30.0	1597,195,104,24	3136.0			
29	38.0	36.0	38.0	651,0,80,101	3071.1			
30	33.0	33.0	36.0	1764,805,77,58	3037.4			
31	11.0	11.0	11.0	337,641,36,24	2813.5			
32	31.0	31.0	33.0	1837,441,83,53	2724.6			
33	36.0	36.0	36.0	6,47,52,52	2605.4			
