track	t_best	t0	t1	bbox	score	lat	lon	alt
0	4.0	4.0	11.0	313,521,116,162	12049.2			
1	3.0	0.0	3.0	0,709,43,122	10058.9			
2	4.0	4.0	4.0	603,789,108,166	7450.7			
3	7.0	7.0	7.0	0,1065,276,15	6936.8			
4	0.0	0.0	0.0	1843,599,77,31	3780.1			
5	4.0	4.0	4.0	529,706,41,35	3621.9			
6	6.0	6.0	6.0	81,723,56,126	3189.8			
7	4.0	4.0	4.0	419,685,29,104	3063.9			
8	4.0	4.0	4.0	481,637,34,60	3008.8			
9	5.0	5.0	5.0	0,57,83,117	2417.0			
10	1.0	1.0	3.0	298,623,43,35	2267.6			
11	2.0	2.0	3.0	1223,985,56,44	2219.4			
12	0.0	0.0	0.0	114,927,21,70	2173.9			
13	5.0	5.0	5.0	0,1033,30,47	2169.7			
14	3.0	3.0	3.0	1725,157,84,26	2070.7			
15	4.0	4.0	4.0	463,515,44,28	1768.8			
16	4.0	4.0	4.0	195,559,20,72	1703.5			
17	6.0	6.0	6.0	1855,825,36,28	1631.6			
18	2.0	1.0	6.0	295,933,30,32	1598.0			
19	5.0	5.0	5.0	0,684,23,31	1419.8			
20	0.0	0.0	0.0	1745,662,30,35	1404.1			
21	4.0	4.0	4.0	705,655,41,18	1226.5			
22	5.0	5.0	5.0	7,476,20,65	1180.5			
23	2.0	1.0	2.0	179,541,20,36	1117.2			
24	5.0	5.0	5.0	65,290,22,31	1033.3			
25	4.0	4.0	4.0	603,715,16,54	1005.2			
26	1.0	1.0	3.0	271,913,29,32	915.4			
27	4.0	4.0	4.0	445,796,9,56	878.4			
28	4.0	4.0	4.0	1388,71,9,88	860.5			
29	8.0	7.0	8.0	493,0,59,37	853.5			
30	4.0	1.0	4.0	1013,708,28,21	849.4			
31	2.0	2.0	2.0	1414,881,23,28	847.8			
32	9.0	9.0	13.0	0,73,33,46	785.6			
33	7.0	7.0	8.0	1159,856,28,21	735.1			
34	11.0	10.0	12.0	1907,349,13,19	701.5			
35	2.0	2.0	2.0	1882,63,38,24	696.4			
36	4.0	4.0	4.0	413,523,16,28	686.5			
37	2.0	0.0	2.0	343,995,36,15	665.4			
38	4.0	4.0	4.0	1269,654,13,27	664.7			
39	5.0	5.0	5.0	63,1047,24,22	659.6			
40	8.0	7.0	8.0	459,123,33,31	651.4			
41	4.0	4.0	4.0	517,585,12,26	651.0			
42	5.0	5.0	5.0	0,429,11,36	648.5			
43	6.0	6.0	6.0	0,635,13,38	636.2			
44	1.0	1.0	1.0	1679,451,23,14	634.3			
45	6.0	6.0	10.0	1795,585,14,24	616.8			
46	4.0	4.0	4.0	502,94,45,23	603.2			
47	3.0	3.0	3.0	1907,928,13,33	599.0			
48	3.0	1.0	3.0	315,777,14,32	574.8			
49	9.0	9.0	15.0	51,17,18,29	563.4			
50	6.0	6.0	6.0	891,143,62,6	517.0			
51	5.0	5.0	5.0	51,249,46,4	503.7			
52	14.0	9.0	15.0	1679,226,14,27	485.4			
53	13.0	12.0	15.0	69,187,32,32	483.8			
54	4.0	4.0	4.0	0,53,15,20	480.8			
55	10.0	10.0	15.0	103,171,22,32	480.4			
56	9.0	8.0	10.0	1687,731,32,8	468.0			
57	3.0	3.0	3.0	375,881,10,18	458.1			
58	4.0	4.0	4.0	659,697,10,28	454.5			
59	7.0	7.0	7.0	1750,0,17,13	441.4			
60	3.0	3.0	3.0	0,533,9,16	433.1			
61	7.0	7.0	8.0	412,79,33,20	426.5			
62	4.0	4.0	4.0	393,0,22,7	419.8			
63	1.0	1.0	1.0	287,280,7,23	407.5			
64	10.0	10.0	10.0	175,131,18,18	400.9			
65	5.0	5.0	5.0	1779,399,28,8	397.0			
66	9.0	8.0	10.0	1608,713,23,8	369.9			
67	4.0	4.0	4.0	525,519,8,18	361.7			
68	6.0	5.0	6.0	107,145,19,14	358.8			
69	0.0	0.0	0.0	1637,349,22,12	356.9			
70	5.0	5.0	5.0	47,19,10,35	331.3			
71	15.0	15.0	15.0	746,589,15,9	328.2			
72	4.0	4.0	4.0	1385,165,5,36	327.1			
73	0.0	0.0	0.0	257,1057,16,8	311.6			
74	8.0	8.0	8.0	587,206,12,15	308.9			
75	3.0	3.0	3.0	273,736,16,13	296.2			
76	6.0	6.0	6.0	127,905,21,13	295.0			
77	5.0	5.0	5.0	1825,109,27,10	290.6			
78	5.0	5.0	5.0	0,619,14,19	288.4			
79	5.0	5.0	5.0	1903,865,17,9	287.5			
80	8.0	8.0	8.0	1780,1050,41,4	285.4			
81	11.0	8.0	12.0	1698,873,11,22	285.3			
82	7.0	7.0	7.0	0,35,13,10	280.4			
83	6.0	6.0	6.0	1897,641,12,12	274.1			
84	3.0	3.0	3.0	1903,600,10,13	268.3			
85	12.0	11.0	15.0	81,255,24,16	256.0			
86	13.0	13.0	13.0	94,1042,15,21	243.0			
87	2.0	1.0	2.0	145,850,8,21	240.6			
88	6.0	6.0	6.0	1305,507,11,12	238.3			
89	9.0	7.0	13.0	1069,337,8,17	233.6			
90	14.0	14.0	14.0	709,801,12,8	227.3			
91	15.0	15.0	15.0	1737,947,17,9	219.8			
92	1.0	1.0	1.0	1810,343,17,6	217.5			
93	7.0	6.0	9.0	492,260,8,20	214.6			
94	6.0	6.0	6.0	205,143,24,5	213.7			
95	1.0	1.0	1.0	104,987,13,6	209.3			
96	7.0	7.0	7.0	1070,879,19,6	206.8			
97	8.0	8.0	9.0	1315,817,14,4	204.4			
98	8.0	8.0	8.0	1861,1045,27,5	203.8			
99	9.0	9.0	13.0	1278,98,25,3	196.3			
100	8.0	8.0	8.0	1843,682,10,13	192.5			
101	5.0	5.0	5.0	195,1053,10,18	191.5			
102	9.0	6.0	12.0	835,71,18,6	188.3			
103	3.0	3.0	3.0	1453,97,12,10	187.7			
104	10.0	10.0	14.0	163,1043,10,12	185.3			
105	15.0	15.0	15.0	1689,913,8,8	176.6			
106	9.0	9.0	9.0	201,5,10,8	174.2			
107	12.0	12.0	12.0	182,613,10,11	173.7			
108	14.0	14.0	14.0	257,393,16,12	173.0			
109	3.0	3.0	3.0	1164,856,12,9	170.7			
110	2.0	2.0	2.0	1039,269,8,10	165.2			
111	7.0	7.0	7.0	73,547,10,14	163.6			
112	13.0	13.0	13.0	73,841,8,6	161.9			
113	6.0	6.0	6.0	497,721,12,8	158.9			
114	1.0	1.0	1.0	1183,563,8,8	157.2			
115	6.0	6.0	6.0	1729,707,10,6	156.7			
116	0.0	0.0	0.0	1650,52,15,9	144.2			
