track	t_best	t0	t1	bbox	score	lat	lon	alt
0	174.2	174.2	174.2	877,407,68,34	5581.2	39.4688171	73.5894164	6095.6
1	179.2	178.2	183.3	1019,465,76,43	4853.2	39.4688164	73.5894156	6095.5
2	42.1	39.1	42.1	817,661,123,29	4808.0	39.4688176	73.5894174	6095.6
3	29.0	29.0	29.0	821,0,74,28	4801.2	39.4688175	73.5894172	6095.6
4	180.3	175.2	182.3	1041,609,64,43	4679.4	39.4688176	73.5894178	6095.7
5	102.1	102.1	102.1	484,121,51,45	3964.2	39.4688179	73.5894182	6095.6
6	37.1	36.1	37.1	246,655,105,32	3701.5	39.4688170	73.5894169	6095.8
7	92.1	89.1	94.1	961,263,46,34	3188.5	39.4688180	73.5894171	6095.6
8	28.0	28.0	29.0	26,0,45,29	3161.6	39.4688172	73.5894172	6095.6
9	97.1	95.1	97.1	1681,822,56,56	2979.5	39.4688176	73.5894183	6095.6
10	103.1	103.1	111.2	1603,121,38,40	2870.8	39.4688181	73.5894171	6095.6
11	43.1	43.1	49.1	1106,631,86,19	2841.3	39.4688173	73.5894175	6095.7
12	39.1	38.1	41.1	677,627,85,23	2747.4	39.4688179	73.5894174	6095.7
13	135.2	121.2	138.2	1621,125,38,42	2670.1	39.4688176	73.5894179	6095.5
14	203.3	193.3	203.3	1417,527,56,30	2604.6	39.4688178	73.5894166	6095.6
15	93.1	89.1	94.1	537,557,30,34	2541.6	39.4688172	73.5894177	6095.6
16	184.3	182.3	185.3	305,627,61,40	2530.2	39.4688168	73.5894161	6095.6
17	198.3	194.3	203.3	1553,792,49,61	2508.8	39.4688175	73.5894168	6095.5
18	116.2	116.2	118.2	71,891,38,70	2492.2	39.4688174	73.5894185	6095.6
19	177.2	175.2	177.2	497,997,41,44	2363.5	39.4688169	73.5894158	6095.5
20	94.1	93.1	94.1	1635,276,21,45	2344.3	39.4688177	73.5894176	6095.6
21	74.1	71.1	76.1	619,519,38,40	2307.8	39.4688170	73.5894173	6095.6
22	133.2	122.2	139.2	813,473,36,42	2286.7	39.4688173	73.5894192	6095.6
23	175.2	175.2	181.3	305,903,48,34	2275.1	39.4688171	73.5894162	6095.6
24	144.2	142.2	145.2	968,409,47,26	2260.5	39.4688185	73.5894153	6095.6
25	190.3	185.3	190.3	1735,963,50,22	2236.0	39.4688162	73.5894160	6095.6
26	119.2	118.2	119.2	423,383,38,34	2094.5	39.4688179	73.5894183	6095.6
27	115.2	115.2	115.2	9,333,49,50	2092.5	39.4688173	73.5894185	6095.5
28	191.3	191.3	191.3	869,865,52,24	2007.7	39.4688171	73.5894164	6095.5
29	178.2	175.2	179.2	862,529,41,18	1935.0	39.4688175	73.5894164	6095.6
30	173.2	167.2	174.2	912,467,33,26	1856.3	39.4688172	73.5894164	6095.6
31	141.2	138.2	145.2	593,662,32,21	1829.4	39.4688178	73.5894156	6095.6
