track	t_best	t0	t1	bbox	score	lat	lon	alt
0	32.0	27.0	36.0	1798,0,122,61	5020.8	39.4818103	73.5928817	5097.3
1	116.1	105.1	120.1	1073,811,46,64	4014.9	39.4818095	73.5928811	5097.3
2	95.1	93.1	95.1	879,177,104,38	2902.4	39.4818096	73.5928803	5097.3
3	89.1	89.1	90.1	0,65,81,92	2462.2	39.4818100	73.5928811	5097.4
4	75.1	74.1	77.1	1741,87,54,36	2372.8	39.4818099	73.5928813	5097.4
5	95.1	93.1	95.1	775,209,82,32	2279.2	39.4818096	73.5928803	5097.3
6	67.1	67.1	71.1	19,0,34,57	2239.1	39.4818104	73.5928809	5097.4
7	100.1	100.1	100.1	1881,660,39,23	2224.5	39.4818092	73.5928801	5097.3
8	87.1	86.1	90.1	787,147,114,34	2006.5	39.4818099	73.5928812	5097.4
9	85.1	85.1	89.1	537,0,104,29	1925.3	39.4818099	73.5928811	5097.4
10	82.1	78.1	85.1	321,247,46,78	1826.0	39.4818099	73.5928815	5097.4
11	13.0	12.0	15.0	1858,154,33,24	1767.0	39.4818103	73.5928820	5097.3
12	103.1	103.1	106.1	1731,841,22,58	1742.4	39.4818093	73.5928801	5097.4
13	95.1	93.1	95.1	1327,0,66,17	1718.4	39.4818096	73.5928803	5097.3
14	96.1	96.1	96.1	453,826,36,43	1669.8	39.4818092	73.5928803	5097.3
15	11.0	7.0	17.0	1638,343,35,26	1629.8	39.4818105	73.5928819	5097.3
16	94.1	88.1	95.1	1149,134,52,43	1470.1	39.4818097	73.5928806	5097.4
17	80.1	77.1	86.1	253,121,36,40	1408.2	39.4818097	73.5928815	5097.4
18	74.1	74.1	76.1	1897,85,23,30	1406.0	39.4818099	73.5928811	5097.3
19	79.1	77.1	86.1	283,13,55,30	1365.3	39.4818098	73.5928816	5097.3
20	94.1	93.1	95.1	1249,0,57,13	1347.2	39.4818097	73.5928806	5097.4
21	125.2	122.1	126.2	1788,877,25,24	1298.8	39.4818101	73.5928823	5097.4
22	73.1	73.1	73.1	1839,871,37,21	1258.6	39.4818098	73.5928808	5097.4
23	87.1	87.1	88.1	159,903,24,20	1251.7	39.4818099	73.5928812	5097.4
24	91.1	91.1	92.1	1905,1033,15,26	1194.0	39.4818097	73.5928807	5097.3
25	34.0	32.0	36.0	1249,0,29,46	1182.2	39.4818102	73.5928815	5097.4
26	63.1	59.1	65.1	1797,247,22,18	1151.1	39.4818106	73.5928803	5097.4
27	41.0	39.0	41.0	513,503,36,22	1138.5	39.4818109	73.5928809	5097.4
28	70.1	67.1	71.1	0,357,35,60	1114.7	39.4818099	73.5928804	5097.3
29	98.1	97.1	102.1	1644,816,19,25	1114.6	39.4818090	73.5928800	5097.3
30	86.1	86.1	89.1	777,35,46,18	1083.8	39.4818098	73.5928813	5097.4
31	74.1	73.1	74.1	1853,1009,34,16	1078.2	39.4818099	73.5928811	5097.3
32	95.1	88.1	95.1	1015,109,48,12	1043.0	39.4818096	73.5928803	5097.3
33	107.1	97.1	118.1	1156,833,29,14	1021.1	39.4818096	73.5928808	5097.4
34	79.1	77.1	84.1	232,177,37,53	992.7	39.4818098	73.5928816	5097.3
35	85.1	85.1	86.1	1201,71,60,16	964.2	39.4818099	73.5928811	5097.4
36	30.0	30.0	30.0	1753,0,24,17	939.3	39.4818104	73.5928819	5097.3
37	70.1	70.1	73.1	973,57,20,18	931.4	39.4818099	73.5928804	5097.3
38	5.0	4.0	10.0	1700,970,12,39	913.0	39.4818100	73.5928827	5097.3
