track	t_best	t0	t1	bbox	score	lat	lon	alt
0	138.0	138.0	147.0	1525,373,250,420	19702.3			
1	132.0	132.0	135.0	1393,143,354,278	19276.7			
2	106.0	102.0	107.0	1403,0,517,48	18184.4			
3	105.0	102.0	105.0	1345,0,489,38	17533.9			
4	134.0	130.0	134.0	1477,105,443,28	16887.9			
5	153.0	143.0	153.0	1637,0,251,285	16310.6			
6	151.0	150.0	153.0	1719,0,201,267	15510.9			
7	159.0	158.0	159.0	690,91,1230,156	14262.1			
8	146.0	145.0	146.0	1673,0,200,273	14103.8			
9	154.0	154.0	154.0	1617,77,224,266	14062.9			
10	163.0	161.0	163.0	1789,0,131,229	14050.2			
11	155.0	155.0	155.0	1707,72,195,238	13038.4			
12	102.0	99.0	104.0	327,165,1122,90	12693.5			
13	89.0	84.0	93.0	1499,0,256,105	12368.3			
14	157.0	152.0	168.0	1785,0,135,243	12326.9			
15	88.0	72.0	88.0	1625,0,280,66	12149.2			
16	141.0	140.0	141.0	1565,373,188,316	11900.8			
17	168.0	163.0	168.0	1693,0,210,250	11718.6			
18	91.0	87.0	91.0	1793,0,81,385	11679.3			
19	133.0	129.0	133.0	685,129,778,136	11370.5			
20	169.0	169.0	169.0	1609,225,224,244	11147.5			
21	116.0	113.0	119.0	580,7,169,87	10530.1			
22	148.0	147.0	148.0	1543,17,224,287	10033.5			
23	143.0	142.0	144.0	1655,173,138,242	9984.5			
24	13.0	13.0	14.0	1773,340,147,315	9966.1			
25	71.0	71.0	71.0	1841,0,45,577	8989.8			
26	128.0	128.0	128.0	1449,0,471,161	8964.5			
27	180.0	179.0	180.0	596,0,229,77	8949.5			
28	85.0	84.0	87.0	1769,123,72,260	8683.8			
29	110.0	99.0	118.0	391,71,103,76	8661.2			
30	90.0	90.0	92.0	1478,0,99,523	8294.0			
31	66.0	66.0	66.0	853,0,408,47	8170.8			
32	87.0	87.0	93.0	1679,193,241,177	8047.7			
33	109.0	101.0	120.0	371,111,172,78	7944.5			
34	169.0	169.0	169.0	1490,324,85,216	7924.6			
35	112.0	112.0	120.0	577,113,130,48	7801.7			
36	129.0	129.0	129.0	0,9,271,64	7756.5			
37	93.0	93.0	94.0	1541,54,266,37	7657.7			
38	121.0	120.0	121.0	1809,643,88,169	7594.0			
39	159.0	159.0	159.0	0,25,545,58	7510.4			
40	91.0	91.0	92.0	208,0,213,141	7314.9			
41	71.0	62.0	71.0	25,0,190,107	7244.7			
42	113.0	113.0	113.0	1578,13,279,50	7209.7			
43	144.0	143.0	144.0	1757,39,163,42	7147.4			
44	149.0	149.0	149.0	1603,179,152,240	6940.6			
45	0.0	0.0	0.0	1883,817,37,263	6898.8			
46	47.0	41.0	51.0	1537,87,325,80	6881.3			
47	70.0	66.0	70.0	83,0,306,226	6835.6			
48	149.0	149.0	151.0	1733,55,187,56	6699.1			
49	182.0	179.0	182.0	0,199,61,70	6635.5			
50	85.0	73.0	85.0	1750,407,141,248	6620.1			
51	101.0	100.0	102.0	1652,75,132,162	6600.7			
52	175.0	175.0	175.0	1845,439,75,318	6474.3			
53	45.0	45.0	45.0	1603,87,317,90	6405.2			
54	61.0	60.0	64.0	1393,72,272,50	6331.8			
55	83.0	76.0	83.0	1395,37,254,64	6296.7			
56	57.0	57.0	64.0	1613,41,298,204	6296.5			
57	121.0	121.0	122.0	1673,650,86,153	6280.2			
58	67.0	67.0	67.0	709,12,316,45	6134.5			
59	43.0	40.0	49.0	1337,187,281,48	5931.6			
60	15.0	13.0	17.0	1575,335,345,28	5912.4			
61	135.0	135.0	135.0	1711,75,209,38	5798.5			
62	44.0	44.0	51.0	1315,29,278,96	5784.6			
63	156.0	155.0	168.0	85,721,148,82	5763.4			
64	44.0	39.0	44.0	43,78,46,355	5727.9			
65	101.0	99.0	101.0	1783,10,118,173	5700.9			
66	94.0	94.0	94.0	1021,23,190,60	5694.5			
67	92.0	92.0	92.0	0,94,213,173	5617.2			
68	70.0	66.0	70.0	1743,75,30,411	5601.5			
69	77.0	77.0	86.0	1417,56,292,161	5552.7			
