track	t_best	t0	t1	bbox	score	lat	lon	alt
0	26.0	25.0	36.0	49,34,165,87	10338.9	39.4828569	73.5931830	5050.3
1	20.0	11.0	26.0	881,645,39,108	6977.1	39.4828559	73.5931834	5050.2
2	22.0	12.0	24.0	879,792,39,102	6225.9	39.4828562	73.5931833	5050.3
3	4.0	3.0	16.0	684,0,52,81	4705.8	39.4828561	73.5931827	5050.3
4	28.0	27.0	37.0	55,189,114,74	4668.0	39.4828570	73.5931828	5050.3
5	118.1	115.1	118.1	882,389,59,57	4140.8	39.4828608	73.5931821	5050.2
6	26.0	22.0	37.0	45,259,50,45	4123.5	39.4828569	73.5931830	5050.3
7	186.2	186.2	186.2	0,425,79,75	4105.0	39.4823675	73.5929666	5066.9
8	10.0	6.0	16.0	619,480,58,99	3571.7	39.4828561	73.5931830	5050.2
9	42.1	40.1	55.1	96,106,37,42	2772.5	39.4828588	73.5931816	5050.3
10	118.1	118.1	132.2	25,0,56,19	2459.4	39.4828608	73.5931821	5050.2
11	228.3	215.3	250.3	1561,597,39,52	2174.7	39.4823663	73.5929677	5066.9
12	250.3	215.3	251.3	1590,19,94,30	2124.2	39.4823676	73.5929654	5066.9
13	118.1	118.1	122.2	337,172,25,34	1876.4	39.4828608	73.5931821	5050.2
14	89.1	88.1	94.1	1283,882,22,37	1797.3	39.4828604	73.5931804	5050.2
15	118.1	118.1	118.1	786,295,27,42	1778.6	39.4828608	73.5931821	5050.2
16	116.1	116.1	127.2	149,64,33,41	1766.9	39.4828603	73.5931821	5050.2
17	237.3	236.3	251.3	1629,97,48,32	1726.5	39.4823658	73.5929667	5066.9
18	109.1	108.1	113.1	943,141,26,25	1654.4	39.4828598	73.5931820	5050.2
19	20.0	18.0	31.0	891,174,16,53	1648.7	39.4828559	73.5931834	5050.2
20	53.1	53.1	53.1	36,1052,30,28	1549.4	39.4828593	73.5931813	5050.3
21	118.1	116.1	118.1	893,437,34,55	1533.1	39.4828608	73.5931821	5050.2
22	225.3	224.3	226.3	77,49,40,44	1498.1	39.4823663	73.5929680	5066.9
23	29.0	29.0	37.0	1885,0,32,18	1487.3	39.4828574	73.5931826	5050.3
24	40.1	40.1	41.1	19,977,23,41	1451.8	39.4828588	73.5931815	5050.3
25	64.1	64.1	70.1	1049,0,29,22	1280.0	39.4828611	73.5931802	5050.2
26	217.3	215.3	221.3	1599,99,64,20	1248.7	39.4823663	73.5929677	5066.9
27	204.3	202.3	204.3	529,57,54,26	1226.5	39.4823674	73.5929664	5066.9
28	213.3	212.3	213.3	431,287,35,18	1217.9	39.4823660	73.5929674	5066.9
29	207.3	207.3	207.3	1793,607,24,16	1197.2	39.4823668	73.5929663	5066.9
30	155.2	154.2	155.2	1345,1033,18,40	1195.7	39.4824359	73.5929852	5064.3
31	118.1	118.1	130.2	106,0,23,28	1143.9	39.4828608	73.5931821	5050.2
32	101.1	101.1	104.1	0,1049,43,31	1137.2	39.4828600	73.5931819	5050.2
33	116.1	115.1	117.1	855,349,32,44	1107.9	39.4828603	73.5931821	5050.2
34	234.3	229.3	251.3	1619,18,66,9	1065.4	39.4823660	73.5929673	5066.9
35	87.1	87.1	87.1	1129,737,16,32	1053.8	39.4828603	73.5931802	5050.2
36	56.1	56.1	57.1	1577,0,24,33	1019.8	39.4828597	73.5931809	5050.3
37	210.3	210.3	213.3	517,387,28,16	973.6	39.4823660	73.5929667	5066.9
38	210.3	210.3	210.3	1155,31,21,34	967.4	39.4823660	73.5929667	5066.9
39	88.1	85.1	88.1	0,185,15,23	924.2	39.4828604	73.5931802	5050.2
40	64.1	63.1	69.1	1155,0,20,28	919.9	39.4828611	73.5931802	5050.2
41	202.3	198.3	202.3	523,381,28,14	908.6	39.4823681	73.5929661	5066.9
42	205.3	205.3	205.3	513,47,40,26	903.6	39.4823673	73.5929664	5066.9
43	61.1	60.1	61.1	987,209,20,19	898.9	39.4828606	73.5931802	5050.3
44	228.3	222.3	228.3	727,71,54,28	889.8	39.4823663	73.5929677	5066.9
45	26.0	26.0	34.0	353,47,24,18	885.9	39.4828569	73.5931830	5050.3
46	28.0	27.0	32.0	447,78,19,21	870.7	39.4828570	73.5931828	5050.3
47	227.3	223.3	228.3	637,5,30,26	841.5	39.4823664	73.5929679	5066.9
48	37.0	37.0	37.0	0,0,39,29	824.4	39.4828586	73.5931815	5050.3
49	89.1	89.1	93.1	1297,951,24,24	804.7	39.4828604	73.5931804	5050.2
50	214.3	214.3	218.3	1521,398,22,23	792.7	39.4823662	73.5929674	5066.9
51	82.1	80.1	82.1	307,329,22,24	777.3	39.4828601	73.5931808	5050.2
52	107.1	106.1	113.1	1041,27,22,20	776.3	39.4828601	73.5931820	5050.2
53	17.0	5.0	17.0	557,1067,22,13	771.9	39.4828561	73.5931831	5050.2
54	35.0	35.0	37.0	13,15,28,26	770.1	39.4828583	73.5931816	5050.3
55	118.1	118.1	118.1	451,21,20,16	760.3	39.4828608	73.5931821	5050.2
56	78.1	76.1	79.1	454,912,17,17	746.5	39.4828600	73.5931814	5050.2
57	30.0	29.0	38.0	60,364,23,25	733.7	39.4828575	73.5931824	5050.3
58	65.1	65.1	69.1	1055,59,22,26	719.9	39.4828612	73.5931805	5050.2
59	204.3	204.3	204.3	641,0,24,17	690.3	39.4823674	73.5929664	5066.9
60	56.1	56.1	56.1	373,713,28,17	679.0	39.4828597	73.5931809	5050.3
61	107.1	106.1	114.1	929,0,18,19	657.7	39.4828601	73.5931820	5050.2
62	199.3	196.2	201.3	929,303,16,18	637.4	39.4823686	73.5929663	5066.9
63	208.3	207.3	208.3	1698,596,19,14	620.0	39.4823666	73.5929666	5066.9
64	225.3	225.3	226.3	1146,0,39,7	604.8	39.4823663	73.5929680	5066.9
65	64.1	63.1	64.1	1808,20,17,17	603.9	39.4828611	73.5931802	5050.2
