track	t_best	t0	t1	bbox	score	lat	lon	alt
0	11.0	7.0	11.0	687,929,104,151	14905.3			
1	0.0	0.0	0.0	165,0,307,365	14556.2			
2	1.0	1.0	1.0	103,0,261,157	10272.1			
3	10.0	10.0	10.0	75,443,72,138	9191.6			
4	2.0	1.0	2.0	321,143,182,108	5469.5			
5	10.0	10.0	10.0	1623,0,30,289	5024.1			
6	11.0	6.0	11.0	619,847,44,42	4798.1			
7	10.0	10.0	10.0	403,0,170,117	4658.9			
8	11.0	11.0	11.0	209,287,48,35	4439.2			
9	11.0	7.0	11.0	516,992,70,59	4148.3			
10	0.0	0.0	0.0	985,67,144,70	3309.1			
11	1.0	1.0	2.0	843,0,141,89	3159.6			
12	2.0	1.0	2.0	591,453,69,116	3103.9			
13	0.0	0.0	1.0	35,231,34,40	3054.1			
14	11.0	10.0	11.0	411,0,70,53	2510.5			
15	1.0	0.0	1.0	42,250,33,95	2207.1			
16	0.0	0.0	0.0	603,316,126,101	2132.0			
17	10.0	10.0	10.0	227,537,16,92	2095.4			
18	11.0	11.0	11.0	204,829,39,94	2017.5			
19	10.0	10.0	10.0	243,425,57,96	1897.2			
20	1.0	0.0	1.0	91,809,34,24	1875.1			
21	1.0	1.0	1.0	5,0,68,90	1789.3			
22	11.0	3.0	11.0	520,897,24,54	1710.4			
23	0.0	0.0	0.0	1124,35,63,28	1701.5			
24	11.0	11.0	11.0	383,63,33,26	1686.9			
25	10.0	10.0	10.0	357,700,8,65	1591.3			
26	10.0	8.0	10.0	407,119,20,44	1500.5			
27	10.0	10.0	11.0	1253,839,18,54	1288.5			
28	10.0	10.0	11.0	315,209,16,84	1279.3			
29	0.0	0.0	0.0	0,617,21,20	1121.6			
30	0.0	0.0	1.0	1549,460,90,13	1023.2			
31	10.0	10.0	10.0	229,349,10,70	999.5			
32	0.0	0.0	0.0	1185,0,40,25	990.1			
33	0.0	0.0	0.0	83,537,18,52	986.3			
34	2.0	1.0	3.0	729,79,16,26	984.8			
35	6.0	6.0	6.0	1748,945,20,24	958.0			
36	0.0	0.0	0.0	127,97,58,63	942.0			
37	1.0	1.0	1.0	822,377,25,34	938.0			
38	10.0	10.0	10.0	315,568,6,75	925.7			
39	0.0	0.0	0.0	691,133,26,21	922.4			
40	10.0	10.0	10.0	25,456,22,27	812.2			
41	1.0	1.0	1.0	545,0,7,61	773.5			
42	3.0	3.0	5.0	1615,1007,18,22	770.4			
43	11.0	8.0	11.0	687,100,44,17	708.3			
44	2.0	2.0	2.0	609,587,60,15	697.0			
45	11.0	11.0	11.0	231,107,28,26	661.9			
46	10.0	10.0	10.0	1641,305,12,45	659.3			
47	10.0	10.0	11.0	328,0,45,33	658.8			
48	2.0	2.0	4.0	599,107,26,57	648.9			
49	10.0	10.0	10.0	327,366,12,47	630.0			
50	1.0	1.0	2.0	445,409,29,16	614.6			
51	8.0	8.0	8.0	167,0,58,4	611.2			
52	2.0	0.0	2.0	473,0,18,27	598.6			
53	2.0	0.0	2.0	641,143,14,64	598.3			
54	11.0	11.0	11.0	138,139,27,22	593.2			
55	2.0	2.0	2.0	1217,363,28,24	587.0			
56	0.0	0.0	0.0	147,348,18,48	573.4			
57	2.0	1.0	2.0	627,51,14,20	554.7			
58	5.0	4.0	5.0	1573,1049,22,12	547.9			
59	0.0	0.0	0.0	557,481,22,10	510.1			
60	2.0	2.0	2.0	353,261,14,16	492.0			
61	2.0	2.0	2.0	471,473,16,24	491.6			
62	1.0	1.0	2.0	413,79,18,12	474.9			
63	10.0	10.0	10.0	211,123,16,42	467.9			
64	0.0	0.0	0.0	1515,421,38,28	438.6			
65	0.0	0.0	0.0	0,488,53,5	436.8			
66	11.0	6.0	11.0	663,881,18,12	425.8			
67	11.0	11.0	11.0	527,1068,16,12	417.8			
68	1.0	1.0	1.0	292,221,13,14	402.8			
69	2.0	2.0	2.0	672,205,7,48	400.1			
70	5.0	5.0	5.0	1693,1019,14,18	383.2			
71	6.0	6.0	6.0	1625,869,13,15	373.6			
72	0.0	0.0	0.0	185,50,20,45	355.6			
73	6.0	6.0	6.0	1886,165,19,16	350.4			
74	5.0	5.0	5.0	1899,1069,21,11	349.0			
75	10.0	9.0	10.0	343,267,7,44	346.1			
76	10.0	10.0	10.0	1513,195,26,20	340.6			
77	1.0	1.0	1.0	1290,387,17,10	338.9			
78	1.0	1.0	1.0	1413,453,28,8	331.9			
79	5.0	4.0	5.0	1657,915,14,16	320.3			
80	2.0	2.0	2.0	677,651,6,30	315.0			
81	1.0	1.0	1.0	1904,231,16,8	308.4			
82	6.0	6.0	6.0	1853,1027,11,20	306.2			
83	11.0	11.0	11.0	1878,592,42,11	296.2			
84	1.0	1.0	1.0	1643,539,22,6	294.0			
85	2.0	2.0	2.0	1355,808,10,13	288.7			
86	2.0	2.0	2.0	194,0,15,7	286.7			
87	8.0	8.0	8.0	1279,9,30,8	284.1			
88	6.0	4.0	6.0	1467,736,13,13	283.8			
89	2.0	2.0	2.0	1459,1065,14,15	275.7			
90	2.0	2.0	2.0	1349,423,36,8	268.8			
91	11.0	11.0	11.0	325,107,20,12	267.0			
92	7.0	6.0	7.0	1197,939,10,16	223.6			
93	8.0	8.0	8.0	97,0,14,5	196.9			
94	9.0	9.0	9.0	521,163,18,8	187.4			
95	3.0	3.0	3.0	1911,231,9,10	185.0			
96	7.0	7.0	7.0	1389,373,12,8	183.5			
