track	t_best	t0	t1	bbox	score	lat	lon	alt
0	387.7	386.7	387.7	1016,650,29,69	2936.8	39.4774861	73.5922771	5409.9
1	276.5	276.5	279.5	926,627,16,56	1943.8	39.4777457	73.5922576	5376.3
2	76.1	76.1	77.1	1537,993,24,32	1788.8	39.4785812	73.5922770	5318.8
3	2.0	0.0	3.0	1073,1009,23,43	1554.6	39.4789782	73.5917664	5300.1
4	280.5	278.5	281.5	936,618,15,47	1429.4	39.4777457	73.5922573	5376.3
5	434.8	434.8	434.8	33,1057,30,23	1406.5	39.4771013	73.5922182	5434.9
6	489.9	489.9	492.9	1697,241,26,48	1373.9	39.4767901	73.5921668	5466.2
7	498.0	498.0	499.0	717,349,29,40	1350.4	39.4767896	73.5921670	5466.3
8	269.5	269.5	269.5	262,803,18,51	1200.4	39.4777456	73.5922581	5376.3
9	16.0	14.0	16.0	1105,1022,38,20	1174.6	39.4789809	73.5917665	5300.1
10	270.5	270.5	280.5	1515,448,12,40	1084.6	39.4777457	73.5922581	5376.3
11	14.0	12.0	17.0	1901,649,19,27	1050.1	39.4789805	73.5917663	5300.2
12	79.2	79.2	79.2	1812,721,33,33	952.2	39.4785809	73.5922770	5318.8
13	209.4	209.4	209.4	849,40,16,25	912.8	39.4778767	73.5922525	5365.6
14	346.7	346.7	346.7	1701,856,26,36	866.5	39.4775417	73.5922792	5394.9
15	210.4	210.4	210.4	925,214,27,24	839.6	39.4778771	73.5922525	5365.6
16	358.7	358.7	359.7	1578,925,39,28	826.5	39.4775252	73.5922794	5404.4
17	6.0	0.0	6.0	1889,505,31,22	817.8	39.4789797	73.5917667	5300.1
18	410.8	410.8	413.8	991,241,18,38	803.2	39.4771006	73.5922191	5434.9
19	417.8	416.8	419.8	394,1003,15,22	777.8	39.4771019	73.5922185	5434.9
20	192.4	192.4	192.4	520,1065,35,15	759.5	39.4779237	73.5922550	5360.4
21	498.0	498.0	498.0	0,724,18,22	744.1	39.4767896	73.5921670	5466.3
22	381.7	380.7	381.7	1407,1065,24,15	716.2	39.4775240	73.5922791	5404.4
23	276.5	276.5	277.5	919,463,11,35	706.3	39.4777457	73.5922576	5376.3
