track	t_best	t0	t1	bbox	score	lat	lon	alt
0	6.0	2.0	6.0	46,0,45,315	7463.6			
1	11.0	11.0	13.0	282,0,44,333	5987.7			
2	0.0	0.0	7.0	245,0,16,294	4999.6			
3	10.0	10.0	13.0	179,0,40,248	4718.1			
4	12.0	12.0	13.0	399,0,18,220	3634.1			
5	5.0	4.0	5.0	320,0,15,161	3575.5			
6	5.0	1.0	5.0	325,217,28,90	2099.6			
7	9.0	9.0	9.0	750,834,65,31	2038.6			
8	4.0	4.0	5.0	364,245,37,44	1461.6			
9	2.0	2.0	7.0	1855,263,65,20	1417.8			
10	8.0	7.0	8.0	521,833,44,25	1303.5			
11	7.0	7.0	7.0	633,689,39,14	1225.3			
12	12.0	12.0	12.0	1404,978,41,16	1067.7			
13	11.0	10.0	11.0	835,915,26,14	868.1			
14	13.0	12.0	13.0	356,447,13,68	829.2			
15	9.0	9.0	9.0	1425,313,26,18	826.1			
16	11.0	10.0	11.0	1241,880,32,13	797.7			
17	9.0	9.0	9.0	321,253,32,14	723.6			
18	5.0	5.0	5.0	328,343,7,77	723.1			
19	7.0	7.0	7.0	0,1073,38,7	718.1			
20	6.0	6.0	6.0	137,671,10,43	666.9			
21	12.0	12.0	12.0	985,1009,24,12	646.9			
22	5.0	5.0	5.0	323,166,6,43	619.8			
23	3.0	0.0	3.0	236,377,9,62	598.5			
24	6.0	6.0	6.0	1903,197,17,14	565.2			
25	1.0	1.0	1.0	225,273,6,50	557.5			
26	10.0	10.0	11.0	1393,15,29,8	527.5			
27	6.0	6.0	9.0	162,827,23,20	525.7			
28	0.0	0.0	9.0	99,833,10,20	488.8			
29	7.0	7.0	7.0	69,59,20,12	482.2			
30	12.0	12.0	12.0	613,435,20,14	480.0			
31	8.0	8.0	8.0	321,525,24,12	464.2			
32	11.0	10.0	11.0	1637,423,27,16	445.0			
33	6.0	6.0	6.0	1445,369,28,14	409.8			
34	2.0	2.0	2.0	739,585,35,5	371.4			
35	12.0	12.0	12.0	473,351,14,12	361.9			
36	13.0	10.0	13.0	1001,1050,22,11	346.5			
37	5.0	4.0	5.0	395,369,14,14	345.6			
38	2.0	2.0	6.0	139,383,8,22	334.2			
39	2.0	2.0	2.0	149,459,14,28	320.1			
40	13.0	11.0	13.0	592,521,31,5	316.1			
41	3.0	0.0	3.0	1337,435,40,8	313.1			
42	4.0	4.0	5.0	385,847,15,16	295.0			
43	1.0	0.0	3.0	233,414,3,41	293.5			
