track	t_best	t0	t1	bbox	score	lat	lon	alt
0	212.0	212.0	212.0	1515,0,298,679	42406.0			
1	44.0	44.0	45.0	1661,13,259,424	23209.0			
2	225.0	225.0	225.0	0,207,321,142	21089.5			
3	214.0	214.0	214.0	1471,717,449,363	18164.1			
4	53.0	51.0	54.0	1337,49,583,144	16381.2			
5	224.0	224.0	224.0	217,887,344,193	15151.8			
6	218.0	213.0	218.0	1721,957,199,123	13999.3			
7	185.0	185.0	185.0	1861,245,59,294	13774.3			
8	82.0	73.0	88.0	1817,210,103,349	13676.5			
9	63.0	61.0	64.0	1823,360,97,325	13124.5			
10	42.0	37.0	43.0	1868,180,52,275	12792.1			
11	62.0	61.0	66.0	1833,497,87,300	12662.6			
12	223.0	222.0	224.0	593,927,154,153	12155.1			
13	30.0	28.0	33.0	1847,603,73,298	11887.8			
14	161.0	156.0	162.0	1813,473,107,378	11780.4			
15	220.0	220.0	224.0	437,885,146,82	11200.9			
16	114.0	106.0	127.0	1647,689,242,391	11131.0			
17	89.0	79.0	90.0	1697,990,223,90	10536.6			
18	221.0	221.0	223.0	245,917,169,163	10097.3			
19	109.0	109.0	112.0	1687,717,154,363	9874.2			
20	186.0	183.0	186.0	1745,879,175,201	9668.4			
21	52.0	52.0	52.0	1322,168,465,95	9624.9			
22	50.0	50.0	50.0	1167,179,486,58	9565.9			
23	61.0	61.0	61.0	11,552,188,233	9511.6			
24	24.0	24.0	24.0	1829,727,91,265	8938.1			
25	115.0	106.0	128.0	1619,781,284,299	8446.7			
26	44.0	31.0	48.0	1516,585,404,131	8391.3			
27	213.0	213.0	213.0	1747,661,72,137	8367.8			
28	23.0	23.0	23.0	1819,793,101,254	8217.9			
29	49.0	47.0	59.0	193,75,138,360	8170.8			
30	15.0	15.0	15.0	1837,505,83,296	8076.4			
31	22.0	22.0	22.0	1833,775,87,241	8067.1			
32	119.0	118.0	126.0	1526,827,135,253	7400.4			
33	107.0	107.0	107.0	1733,861,108,219	7370.9			
34	97.0	97.0	98.0	267,61,178,336	7261.3			
35	221.0	221.0	222.0	383,923,56,157	7119.3			
36	222.0	222.0	222.0	1015,969,132,52	7032.1			
37	16.0	16.0	16.0	1831,603,89,242	6951.6			
38	71.0	71.0	78.0	1597,991,323,89	6940.9			
39	216.0	216.0	216.0	0,701,35,88	6808.5			
40	46.0	46.0	46.0	1115,187,358,23	6738.6			
41	139.0	137.0	139.0	1893,929,27,151	6672.3			
42	103.0	103.0	104.0	1519,1055,191,25	6601.7			
43	147.0	147.0	148.0	1901,833,19,168	6572.5			
44	77.0	73.0	77.0	1765,359,155,28	6525.3			
45	18.0	18.0	18.0	1743,871,159,209	6364.3			
46	219.0	219.0	224.0	45,1025,76,55	6328.6			
47	141.0	141.0	141.0	1900,914,20,166	6202.6			
48	211.0	210.0	211.0	461,0,50,89	6189.2			
49	224.0	224.0	224.0	757,829,104,34	6160.7			
50	225.0	225.0	225.0	301,0,106,109	5936.8			
51	104.0	104.0	106.0	1473,967,148,113	5784.6			
52	54.0	47.0	57.0	1359,163,378,68	5762.9			
53	178.0	178.0	183.0	0,991,87,89	5652.3			
54	0.0	0.0	0.0	1664,289,90,164	5396.0			
55	124.0	111.0	126.0	1723,566,80,231	5305.9			
56	133.0	133.0	134.0	0,1000,176,80	5305.0			
57	216.0	216.0	216.0	1273,831,96,130	5287.7			
58	170.0	166.0	184.0	0,1009,49,71	5269.3			
59	215.0	213.0	215.0	1553,819,136,60	5267.5			
60	48.0	48.0	48.0	333,97,84,320	5238.8			
61	20.0	20.0	20.0	1845,949,75,131	5012.7			
62	134.0	134.0	137.0	0,984,233,96	4991.8			
63	216.0	216.0	216.0	1577,945,44,135	4991.1			
64	211.0	211.0	211.0	457,119,40,104	4982.6			
65	214.0	214.0	214.0	1781,0,139,85	4877.1			
66	17.0	17.0	17.0	1839,703,81,172	4843.9			
67	71.0	70.0	71.0	1717,645,203,94	4763.9			
68	117.0	107.0	117.0	1569,680,237,102	4735.2			
69	223.0	223.0	223.0	909,821,80,42	4675.5			
70	44.0	44.0	44.0	721,0,305,234	4653.2			
71	19.0	19.0	19.0	1827,945,93,135	4559.2			
72	47.0	47.0	50.0	1293,3,219,45	4476.7			
73	105.0	105.0	106.0	1416,942,153,138	4377.4			
74	72.0	69.0	75.0	1767,483,153,46	4271.2			
75	58.0	56.0	58.0	1224,465,245,36	4167.1			
76	186.0	186.0	186.0	1352,835,103,210	4145.7			
77	21.0	21.0	21.0	1847,859,73,162	3986.5			
78	126.0	125.0	126.0	1732,944,188,39	3882.7			
79	116.0	116.0	116.0	1749,840,128,240	3876.2			
80	132.0	127.0	135.0	0,1040,92,40	3860.7			
81	97.0	96.0	97.0	433,0,30,53	3656.3			
82	78.0	71.0	79.0	1793,269,127,46	3626.6			
83	49.0	47.0	49.0	311,0,36,64	3507.8			
