track	t_best	t0	t1	bbox	score	lat	lon	alt
0	188.3	188.3	197.3	1795,1046,94,34	7269.5	39.4799355	73.5918747	5210.5
1	169.3	166.3	169.3	0,415,45,75	4972.1	39.4799347	73.5918749	5210.5
2	70.1	70.1	72.1	1083,33,105,49	4601.6	39.4799355	73.5918777	5210.6
3	204.3	202.3	204.3	826,505,48,50	4540.1	39.4799360	73.5918745	5210.5
4	166.3	165.3	166.3	1886,68,34,46	4491.5	39.4799353	73.5918754	5210.5
5	196.3	189.3	196.3	1497,1001,68,41	4132.1	39.4799352	73.5918745	5210.5
6	224.4	224.4	224.4	1235,935,59,36	4119.0	39.4799367	73.5918733	5210.5
7	220.4	219.4	231.4	1589,1015,43,65	3824.7	39.4799360	73.5918735	5210.5
8	212.4	210.4	215.4	868,909,70,54	3743.0	39.4799359	73.5918735	5210.5
9	30.1	30.1	40.1	311,377,54,30	3600.5	39.4799351	73.5918791	5210.6
10	213.4	213.4	215.4	865,929,56,50	3469.2	39.4799359	73.5918734	5210.5
11	96.2	96.2	104.2	569,1010,34,57	3323.5	39.4799346	73.5918766	5210.5
12	128.2	123.2	132.2	837,679,54,58	3162.4	39.4799353	73.5918759	5210.5
13	227.4	224.4	229.4	1797,446,42,51	3120.6	39.4799369	73.5918736	5210.5
14	193.3	192.3	196.3	1535,773,44,32	3100.3	39.4799353	73.5918746	5210.5
15	96.2	96.2	104.2	405,1047,43,33	2916.2	39.4799346	73.5918766	5210.5
16	41.1	31.1	41.1	618,1025,44,48	2698.5	39.4799361	73.5918782	5210.6
17	134.2	131.2	134.2	1085,653,30,70	2622.4	39.4799350	73.5918761	5210.5
18	217.4	217.4	217.4	1714,0,48,29	2551.9	39.4799359	73.5918736	5210.5
19	218.4	218.4	219.4	0,155,41,48	2451.7	39.4799359	73.5918736	5210.5
20	26.0	21.0	28.0	594,297,53,36	2331.9	39.4799345	73.5918788	5210.6
21	174.3	174.3	174.3	1785,37,35,28	2300.0	39.4799348	73.5918754	5210.5
22	41.1	30.1	41.1	628,985,52,24	2288.4	39.4799361	73.5918782	5210.6
23	29.0	29.0	29.0	425,417,40,22	2253.1	39.4799351	73.5918789	5210.6
24	28.0	20.0	28.0	590,405,60,22	2185.8	39.4799349	73.5918787	5210.6
25	52.1	52.1	60.1	1685,0,46,43	2170.9	39.4799360	73.5918785	5210.6
26	102.2	96.2	105.2	591,481,53,25	2137.4	39.4799349	73.5918766	5210.5
27	205.4	205.4	205.4	853,510,25,38	2124.0	39.4799359	73.5918746	5210.5
28	70.1	70.1	72.1	1187,0,37,49	2111.0	39.4799355	73.5918777	5210.6
29	32.1	32.1	46.1	195,21,40,46	2096.5	39.4799353	73.5918791	5210.6
30	223.4	221.4	223.4	1289,1041,30,39	1991.8	39.4799367	73.5918733	5210.5
31	111.2	111.2	121.2	1209,1025,24,48	1985.5	39.4799347	73.5918767	5210.5
