track	t_best	t0	t1	bbox	score	lat	lon	alt
0	170.2	166.2	172.2	341,613,81,72	10919.4	39.4707489	73.5885944	5859.4
1	172.2	166.2	172.2	347,617,88,68	9276.0	39.4707489	73.5885946	5859.5
2	147.2	147.2	148.2	147,757,114,62	8836.5	39.4707508	73.5885940	5859.5
3	8.0	2.0	10.0	1227,389,83,66	8286.4	39.4707458	73.5885961	5859.5
4	97.1	77.1	97.1	39,587,82,47	8168.6	39.4707487	73.5885913	5859.5
5	146.2	139.2	146.2	493,665,90,64	7997.0	39.4707506	73.5885933	5859.5
6	93.1	82.1	98.1	815,439,94,42	7143.7	39.4707497	73.5885935	5859.5
7	140.2	139.2	159.2	971,81,144,81	7050.8	39.4707515	73.5885931	5859.5
8	15.0	5.0	21.0	913,529,128,78	6970.5	39.4707473	73.5885956	5859.5
9	140.2	138.2	142.2	672,193,225,106	6753.2	39.4707515	73.5885931	5859.5
10	159.2	157.2	162.2	173,613,43,76	5925.3	39.4707475	73.5885956	5859.5
11	157.2	157.2	165.2	43,603,49,75	5781.1	39.4707486	73.5885960	5859.5
12	23.0	22.0	27.0	1241,403,81,58	5586.9	39.4707474	73.5885931	5859.5
13	149.2	149.2	151.2	881,375,60,76	5544.1	39.4707507	73.5885954	5859.5
14	16.0	12.0	27.0	919,525,120,85	5278.0	39.4707476	73.5885953	5859.5
15	13.0	0.0	13.0	1233,503,112,50	5161.3	39.4707467	73.5885949	5859.5
16	140.2	139.2	147.2	1191,0,100,55	4907.6	39.4707515	73.5885931	5859.5
17	74.1	73.1	81.1	1160,415,71,44	4815.1	39.4707479	73.5885940	5859.5
18	143.2	139.2	147.2	833,347,58,47	4704.9	39.4707510	73.5885927	5859.5
19	17.0	16.0	21.0	910,548,108,59	4689.8	39.4707479	73.5885952	5859.5
20	27.0	0.0	38.0	1147,401,86,59	4642.8	39.4707500	73.5885942	5859.5
21	4.0	4.0	7.0	708,407,95,32	4453.0	39.4707468	73.5885956	5859.5
22	24.0	0.0	27.0	1039,412,62,42	4402.3	39.4707477	73.5885933	5859.5
23	8.0	8.0	11.0	1795,153,84,63	4385.5	39.4707458	73.5885961	5859.5
24	72.1	72.1	72.1	1632,297,101,58	4359.5	39.4707478	73.5885933	5859.5
25	167.2	166.2	170.2	93,637,48,62	4193.9	39.4707491	73.5885951	5859.5
26	18.0	13.0	18.0	1271,353,128,56	4080.2	39.4707476	73.5885950	5859.5
27	63.1	42.1	63.1	267,681,51,52	3990.9	39.4707496	73.5885935	5859.5
28	150.2	149.2	151.2	933,281,41,80	3956.3	39.4707507	73.5885958	5859.5
29	162.2	157.2	174.2	234,655,41,74	3916.0	39.4707462	73.5885936	5859.4
30	62.1	44.1	63.1	455,849,90,64	3893.9	39.4707494	73.5885942	5859.5
31	172.2	167.2	172.2	268,629,53,66	3861.6	39.4707489	73.5885946	5859.5
32	22.0	8.0	26.0	1763,176,106,50	3823.3	39.4707472	73.5885928	5859.5
33	56.1	42.1	58.1	513,405,35,60	3624.8	39.4707482	73.5885951	5859.5
34	138.2	138.2	153.2	947,0,87,38	3624.7	39.4707521	73.5885939	5859.5
35	139.2	139.2	148.2	1341,44,72,47	3584.8	39.4707518	73.5885936	5859.5
36	7.0	0.0	15.0	1098,461,54,32	3556.9	39.4707459	73.5885962	5859.5
