DJI_20260813183004_0001_Z_01m56s.jpg	0	606,809,64,63	1278	143,136,121	5501.4
DJI_20260813183004_0001_Z_01m56s.jpg	1	331,42,48,35	716	104,111,121	3105.6
DJI_20260813183004_0001_Z_01m56s.jpg	2	683,937,26,30	389	148,139,118	1501.7
DJI_20260813183004_0001_Z_01m56s.jpg	3	1815,717,45,17	272	127,105,100	1029.4
DJI_20260813183004_0001_Z_01m56s.jpg	4	419,796,24,13	194	138,102,90	834.7
DJI_20260813183004_0001_Z_01m56s.jpg	5	450,586,23,23	196	106,101,87	741.0
DJI_20260813183004_0001_Z_01m56s.jpg	6	685,666,20,28	189	131,106,99	731.1
DJI_20260813183004_0001_Z_01m56s.jpg	7	1647,791,19,7	112	200,173,148	446.6
DJI_20260813183004_0001_Z_01m56s.jpg	8	1796,793,13,20	109	195,172,165	428.4
DJI_20260813183004_0001_Z_01m56s.jpg	9	401,561,24,16	106	151,143,126	408.8
DJI_20260813183004_0001_Z_01m56s.jpg	10	1634,0,15,17	102	129,106,102	396.2
DJI_20260813183004_0001_Z_01m56s.jpg	11	703,452,12,12	104	26,29,31	365.1
DJI_20260813183004_0001_Z_01m56s.jpg	12	517,809,11,12	77	71,52,43	317.4
DJI_20260813183004_0001_Z_01m56s.jpg	13	465,817,13,10	76	90,69,65	276.3
DJI_20260813183004_0001_Z_01m56s.jpg	14	494,796,9,20	72	67,49,42	272.7
DJI_20260813183004_0001_Z_01m56s.jpg	15	1830,312,9,13	68	193,170,167	259.4
DJI_20260813183004_0001_Z_01m56s.jpg	16	469,609,16,5	68	111,106,90	247.6
DJI_20260813183004_0001_Z_01m56s.jpg	17	1622,802,11,7	62	192,169,143	236.0
DJI_20260813183004_0001_Z_01m56s.jpg	18	669,1007,10,13	55	114,115,99	229.8
DJI_20260813183004_0001_Z_01m56s.jpg	19	681,661,7,18	48	207,177,164	191.1
DJI_20260813183004_0001_Z_01m56s.jpg	20	693,453,6,17	51	24,26,28	178.8
DJI_20260813183004_0001_Z_01m56s.jpg	21	1718,230,10,7	53	136,139,124	174.6
DJI_20260813183004_0001_Z_01m56s.jpg	22	486,619,10,13	43	202,171,156	166.0
DJI_20260813183004_0001_Z_01m56s.jpg	23	943,941,5,12	41	245,240,223	155.5
DJI_20260813183004_0001_Z_01m56s.jpg	24	417,784,6,8	38	167,139,133	153.1
DJI_20260813183004_0001_Z_01m56s.jpg	25	380,0,11,5	42	138,145,128	148.7
DJI_20260813183004_0001_Z_01m56s.jpg	26	1910,248,10,7	40	95,92,79	140.1
DJI_20260813183004_0001_Z_01m56s.jpg	27	1880,139,5,7	29	143,125,134	135.1
DJI_20260813183004_0001_Z_01m56s.jpg	28	1819,796,11,5	31	223,198,190	128.1
DJI_20260813183004_0001_Z_01m56s.jpg	29	640,736,8,9	34	63,45,45	125.0
DJI_20260813183004_0001_Z_01m56s.jpg	30	417,714,7,5	27	185,153,131	119.0
DJI_20260813183004_0001_Z_01m56s.jpg	31	1878,303,10,5	30	93,91,79	106.6
DJI_20260813183004_0001_Z_01m56s.jpg	32	916,998,8,4	26	39,40,27	99.7
DJI_20260813183004_0001_Z_01m56s.jpg	33	675,956,8,8	23	136,117,117	93.1
DJI_20260813183004_0001_Z_01m56s.jpg	34	333,213,8,6	26	102,98,84	91.4
DJI_20260813183004_0001_Z_01m56s.jpg	35	1845,252,5,5	22	213,193,198	90.7
DJI_20260813183004_0001_Z_01m56s.jpg	36	722,924,5,7	23	247,238,221	88.3
DJI_20260813183004_0001_Z_01m56s.jpg	37	471,802,4,7	26	157,135,128	82.5
DJI_20260813183004_0001_Z_01m56s.jpg	38	316,957,9,4	24	104,85,85	78.4
DJI_20260813183004_0001_Z_01m56s.jpg	39	484,797,6,4	23	87,67,61	77.3
DJI_20260813183004_0001_Z_01m56s.jpg	40	741,509,7,4	20	45,26,24	76.0
DJI_20260813183004_0001_Z_01m56s.jpg	41	930,915,5,7	21	165,159,144	75.2
DJI_20260813183004_0001_Z_01m56s.jpg	42	926,941,7,6	20	246,242,225	73.4
DJI_20260813183004_0001_Z_01m56s.jpg	43	693,476,6,4	19	22,25,27	70.4
DJI_20260813183004_0001_Z_01m56s.jpg	44	654,770,4,5	18	98,92,75	70.3
DJI_20260813183004_0001_Z_01m56s.jpg	45	719,953,7,3	20	130,124,107	69.3
DJI_20260813183004_0001_Z_01m56s.jpg	46	677,701,7,4	18	105,84,83	67.8
DJI_20260813183004_0001_Z_01m56s.jpg	47	1869,326,8,3	18	36,20,18	66.5
DJI_20260813183004_0001_Z_01m56s.jpg	48	444,599,5,4	19	91,87,73	65.5
DJI_20260813183004_0001_Z_01m56s.jpg	49	1872,298,4,6	16	157,152,132	60.0
DJI_20260813183004_0001_Z_01m56s.jpg	50	775,946,3,5	13	67,50,56	60.0
DJI_20260813183004_0001_Z_01m56s.jpg	51	481,199,3,8	23	74,72,60	59.1
DJI_20260813183004_0001_Z_01m56s.jpg	52	635,1056,6,5	20	110,90,86	54.9
DJI_20260813183004_0001_Z_01m56s.jpg	53	1702,130,5,4	15	164,144,148	54.8
DJI_20260813183004_0001_Z_01m56s.jpg	54	536,795,5,6	13	69,51,42	51.5
DJI_20260813183004_0001_Z_01m56s.jpg	55	1282,1039,7,4	15	246,238,222	51.0
DJI_20260813183004_0001_Z_01m56s.jpg	56	408,675,4,4	13	175,149,143	50.7
DJI_20260813183004_0001_Z_01m56s.jpg	57	712,949,5,4	14	147,138,116	50.7
DJI_20260813183004_0001_Z_01m56s.jpg	58	1885,294,4,5	13	48,35,41	50.6
DJI_20260813183004_0001_Z_01m56s.jpg	59	1212,951,3,6	15	252,250,234	50.2
DJI_20260813183004_0001_Z_01m56s.jpg	60	917,1021,4,3	12	153,137,144	49.1
DJI_20260813183004_0001_Z_01m56s.jpg	61	705,1032,5,4	12	95,77,82	45.3
DJI_20260813183004_0001_Z_01m56s.jpg	62	1815,802,4,3	12	222,195,183	44.5
DJI_20260813183004_0001_Z_01m56s.jpg	63	469,782,5,3	15	166,144,139	42.4
DJI_20260813183004_0001_Z_01m56s.jpg	64	1848,65,3,6	15	64,63,53	40.5
