t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	3218	88	2.7	22	ok
2.0	3218	114	3.5	28	ok
4.0	3218	115	3.6	29	ok
6.0	3218	151	4.7	37	ok
8.0	3218	162	5.0	40	ok
10.0	3218	173	5.4	43	ok
12.0	3218	176	5.5	44	ok
14.0	3218	191	5.9	48	ok
16.0	3218	179	5.6	44	ok
18.0	3218	162	5.0	40	ok
20.0	3218	172	5.4	43	ok
22.0	3191	215	6.7	54	ok
24.0					no_focal
26.0					no_focal
28.0					no_focal
30.0					no_focal
32.0					no_focal
34.0					no_focal
36.0					no_focal
38.0					no_focal
40.0					no_focal
42.0					no_focal
44.0					no_focal
46.0					no_focal
48.0					no_focal
50.0					no_focal
52.0					no_focal
54.0					no_focal
56.0	1925	494	25.7	205	ok
58.0	1925	485	25.2	202	ok
60.0	1925	486	25.2	202	ok
62.0	1925	487	25.3	202	ok
64.0	1925	484	25.1	201	ok
66.0	1925	473	24.6	197	ok
68.0	1925	425	22.1	176	ok
70.0					no_focal
72.0					no_focal
74.0					no_focal
76.0					no_focal
78.0					no_focal
80.0					no_focal
82.0					no_focal
