t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	15077	68	0.5	4	ok
2.0	15077	66	0.4	3	ok
4.0	15077	69	0.5	4	ok
6.0	15077	71	0.5	4	ok
8.0	15077	70	0.5	4	ok
10.0	15077	68	0.4	4	ok
12.0	15077	66	0.4	4	ok
14.0	14860	64	0.4	3	ok
16.0	14860	63	0.4	3	ok
18.0	14797	65	0.4	3	ok
20.0	14734	69	0.5	4	ok
22.0	14797	70	0.5	4	ok
24.0	14860	70	0.5	4	ok
26.0	15077	70	0.5	4	ok
28.0	15077	71	0.5	4	ok
30.0	14797	71	0.5	4	ok
32.0	14250	73	0.5	4	ok
34.0	13766	77	0.6	4	ok
36.0	13766	77	0.6	5	ok
38.0	12178	81	0.7	5	ok
40.0	10591	85	0.8	6	ok
42.0	10591	86	0.8	6	ok
44.0	12178	86	0.7	6	ok
46.0	12178	86	0.7	6	ok
48.0	13766	86	0.6	5	ok
50.0	14107	87	0.6	5	ok
52.0	14107	91	0.6	5	ok
54.0	14448	91	0.6	5	ok
56.0	14448	91	0.6	5	ok
58.0	14107	91	0.6	5	ok
60.0	14448	91	0.6	5	ok
62.0	14448	92	0.6	5	ok
64.0	14448	94	0.6	5	ok
66.0	14448	96	0.7	5	ok
68.0	14448	96	0.7	5	ok
70.0	15128	96	0.6	5	ok
72.0	15808	97	0.6	5	ok
74.0	15808	97	0.6	5	ok
76.0	15808	96	0.6	5	ok
78.0	15808	91	0.6	5	ok
80.0	15808	91	0.6	5	ok
82.0	15808	91	0.6	5	ok
84.0					no_focal
86.0					no_focal
88.0					no_focal
