t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0					no_focal
2.0					no_focal
4.0	9688	436	4.5	36	ok
6.0	9688	425	4.4	35	ok
8.0	9688	460	4.7	38	ok
10.0	8491	538	6.3	51	ok
12.0	8491	250	2.9	24	ok
14.0	8491	239	2.8	23	ok
16.0	7295	224	3.1	25	ok
18.0	7143	217	3.0	24	ok
20.0	7143	230	3.2	26	ok
22.0	7143	241	3.4	27	ok
24.0	7143	273	3.8	31	ok
26.0	7143	441	6.2	49	ok
28.0	7295	435	6.0	48	ok
30.0	7295	264	3.6	29	ok
32.0	7205	256	3.6	28	ok
34.0	7420	257	3.5	28	ok
36.0	7205	230	3.2	25	ok
38.0	7205	151	2.1	17	ok
40.0	7205	121	1.7	13	ok
42.0	7205	114	1.6	13	ok
44.0	6991	107	1.5	12	ok
46.0	7205	288	4.0	32	ok
48.0	7205	267	3.7	30	ok
50.0	7549	270	3.6	29	ok
52.0	7549	266	3.5	28	ok
54.0	7549	256	3.4	27	ok
56.0	7678	242	3.2	25	ok
58.0	7937	228	2.9	23	ok
60.0	7937	216	2.7	22	ok
62.0	7937	205	2.6	21	ok
64.0	7937	197	2.5	20	ok
66.0	7937	228	2.9	23	ok
68.0	8197	218	2.7	21	ok
70.0	8197	208	2.5	20	ok
72.0	8197	198	2.4	19	ok
74.0					no_focal
76.0	7678	183	2.4	19	ok
78.0	7678	174	2.3	18	ok
80.0	8417	164	2.0	16	ok
82.0	8417	156	1.9	15	ok
84.0	9156	152	1.7	13	ok
86.0	9098	143	1.6	13	ok
88.0	7678	135	1.8	14	ok
90.0	8998	129	1.4	11	ok
92.0	8998	123	1.4	11	ok
94.0	8998	117	1.3	10	ok
96.0	8998	113	1.3	10	ok
98.0	7478	91	1.2	10	ok
100.0	8998	140	1.6	12	ok
102.0	8998	138	1.5	12	ok
104.0	8998	135	1.5	12	ok
106.0	8998	126	1.4	11	ok
108.0	7478	115	1.5	12	ok
110.0	7478	105	1.4	11	ok
112.0	7478	96	1.3	10	ok
114.0	7478	77	1.0	8	ok
116.0	8396	72	0.9	7	ok
118.0	8396	63	0.7	6	ok
120.0	6274	54	0.9	7	ok
122.0	6274	66	1.1	8	ok
124.0	5968	65	1.1	9	ok
126.0	5968	64	1.1	9	ok
128.0	7927	61	0.8	6	ok
130.0	10191	61	0.6	5	ok
132.0	10191	61	0.6	5	ok
134.0	10191	60	0.6	5	ok
136.0	10191	50	0.5	4	ok
138.0	10191	43	0.4	3	ok
140.0	4657	41	0.9	7	ok
142.0	4657	41	0.9	7	ok
144.0	4012	42	1.1	8	ok
146.0	4012	43	1.1	8	ok
148.0	3319	44	1.3	11	ok
150.0	3270	47	1.4	11	ok
152.0	3270	47	1.4	12	ok
154.0	3270	48	1.5	12	ok
156.0	3105	45	1.4	11	ok
158.0	3270	38	1.2	9	ok
160.0	3319	21	0.6	5	ok
162.0	3319	16	0.5	4	ok
164.0	3319	13	0.4	3	ok
166.0	3319	12	0.3	3	ok
168.0	3319	8	0.2	2	ok
170.0	3319				above_horizon
172.0	3367				above_horizon
174.0	4795				above_horizon
176.0	4795				above_horizon
178.0	6223				above_horizon
180.0	6290				above_horizon
182.0	6290				above_horizon
184.0	6829				above_horizon
186.0	6885				above_horizon
188.0	6885				above_horizon
190.0	6940				above_horizon
192.0	6940				above_horizon
194.0	6940				above_horizon
196.0	7379				above_horizon
198.0	6940				above_horizon
200.0	6829				above_horizon
202.0	6829				above_horizon
204.0	6560				above_horizon
206.0	6560				above_horizon
208.0	6290				above_horizon
210.0	6560				above_horizon
212.0	6615				above_horizon
214.0	6940				above_horizon
216.0	6940				above_horizon
218.0	6940				above_horizon
220.0	6599				above_horizon
222.0	6599				above_horizon
224.0	5172				above_horizon
226.0	4341				above_horizon
228.0	5172				above_horizon
230.0	5172				above_horizon
232.0	5172				above_horizon
234.0	5172				above_horizon
236.0	4080				above_horizon
238.0	5172				above_horizon
240.0					no_focal
242.0					no_focal
244.0					no_focal
246.0					no_focal
