t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	14595	43	0.3	2	ok
2.0	14595	43	0.3	2	ok
4.0	14595	44	0.3	2	ok
6.0	14595	45	0.3	2	ok
8.0	14595	45	0.3	2	ok
10.0	14595	45	0.3	2	ok
12.0	14595	43	0.3	2	ok
14.0	14595	43	0.3	2	ok
16.0	14595	43	0.3	2	ok
18.0	14595	43	0.3	2	ok
20.0	14595	43	0.3	2	ok
22.0					no_focal
24.0					no_focal
26.0					no_focal
28.0					no_focal
30.0					no_focal
32.0					no_focal
34.0					no_focal
36.0					no_focal
38.0					no_focal
40.0					no_focal
42.0					no_focal
44.0					no_focal
46.0					no_focal
48.0					no_focal
