t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0					no_focal
2.0					no_focal
4.0					no_focal
6.0					no_focal
8.0	3159				above_horizon
10.0	3159				above_horizon
12.0	3159				above_horizon
14.0	3159				above_horizon
16.0	3215				above_horizon
18.0	3159				above_horizon
20.0	3159				above_horizon
22.0	3159				above_horizon
24.0	3159				above_horizon
26.0	3159				above_horizon
28.0	3159				above_horizon
30.0	3159				above_horizon
32.0	3215				above_horizon
34.0	3176				above_horizon
36.0	3159				above_horizon
38.0	3159				above_horizon
40.0	3167				above_horizon
42.0	3176				above_horizon
44.0	3176				above_horizon
46.0	3846				above_horizon
48.0	4516				above_horizon
50.0	4516				above_horizon
52.0	4516				above_horizon
54.0	4516				above_horizon
56.0	4516				above_horizon
58.0	5982				above_horizon
60.0	5982				above_horizon
62.0	5982				above_horizon
64.0	5982				above_horizon
66.0	5982				above_horizon
68.0	5982				above_horizon
70.0	5982				above_horizon
72.0	7342				above_horizon
74.0	10168				above_horizon
76.0	14118				above_horizon
78.0	14118				above_horizon
80.0	18068				above_horizon
82.0	10168				above_horizon
84.0	9331				above_horizon
86.0	9331				above_horizon
88.0	9331				above_horizon
90.0	9331				above_horizon
92.0	9331				above_horizon
94.0	9331				above_horizon
96.0	8494				above_horizon
98.0					no_focal
100.0					no_focal
102.0					no_focal
104.0					no_focal
106.0					no_focal
108.0					no_focal
110.0					no_focal
112.0	5394				above_horizon
114.0	4773				above_horizon
116.0	4152				above_horizon
118.0	4152				above_horizon
120.0	4773				above_horizon
122.0	5394				above_horizon
124.0	4773				above_horizon
126.0	4773				above_horizon
128.0	4773				above_horizon
130.0	4773				above_horizon
132.0	4773				above_horizon
134.0	4773				above_horizon
136.0	4773	1240	26.0	208	ok
138.0	4773				above_horizon
140.0	4773				above_horizon
142.0	4773				above_horizon
144.0	4773				above_horizon
146.0	4773				above_horizon
148.0	4152				above_horizon
150.0	3893				above_horizon
152.0	3634				above_horizon
154.0	3060				above_horizon
156.0	2486				above_horizon
158.0	2486				above_horizon
160.0					no_focal
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0					no_focal
170.0					no_focal
172.0					no_focal
