t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	15276	58	0.4	3	ok
2.0	15276	58	0.4	3	ok
4.0	15139	58	0.4	3	ok
6.0	15139	57	0.4	3	ok
8.0	15139	55	0.4	3	ok
10.0	15139	54	0.4	3	ok
12.0	15139	53	0.3	3	ok
14.0	15139	53	0.3	3	ok
16.0	15139	55	0.4	3	ok
18.0	15139	57	0.4	3	ok
20.0	15139	59	0.4	3	ok
22.0	15139	61	0.4	3	ok
24.0	15139	64	0.4	3	ok
26.0	15343	65	0.4	3	ok
28.0	15343	66	0.4	3	ok
30.0	15072	66	0.4	3	ok
32.0	14541	66	0.5	4	ok
34.0	14078	66	0.5	4	ok
36.0	10493	66	0.6	5	ok
38.0	6908	64	0.9	7	ok
40.0	6853	65	1.0	8	ok
42.0	6908	65	0.9	8	ok
44.0	6853	62	0.9	7	ok
46.0	6853	63	0.9	7	ok
48.0	6853	64	0.9	7	ok
50.0	6853	68	1.0	8	ok
52.0	6908	70	1.0	8	ok
54.0	6908	72	1.0	8	ok
56.0	6908	75	1.1	9	ok
58.0	7465	80	1.1	9	ok
60.0	7465	90	1.2	10	ok
62.0	7465	95	1.3	10	ok
64.0	8023	100	1.3	10	ok
66.0	8023	102	1.3	10	ok
68.0	10764	104	1.0	8	ok
70.0	13506	112	0.8	7	ok
72.0	13523	116	0.9	7	ok
74.0	13523	123	0.9	7	ok
76.0	13523	128	0.9	8	ok
78.0	13523	134	1.0	8	ok
80.0	13539	134	1.0	8	ok
82.0	13539	137	1.0	8	ok
84.0	13539	147	1.1	9	ok
86.0	13523	181	1.3	11	ok
88.0	13506	193	1.4	11	ok
90.0	10690	199	1.9	15	ok
92.0	7865	198	2.5	20	ok
94.0	7865	199	2.5	20	ok
96.0	7865	198	2.5	20	ok
98.0	7856	205	2.6	21	ok
100.0	7865	199	2.5	20	ok
102.0	7874	215	2.7	22	ok
104.0	7865	247	3.1	25	ok
106.0	7874	233	3.0	24	ok
108.0	7874	247	3.1	25	ok
110.0	7874	263	3.3	27	ok
112.0	7874	265	3.4	27	ok
114.0	7874	286	3.6	29	ok
116.0	7874	308	3.9	31	ok
118.0	11027	314	2.9	23	ok
120.0	13618	304	2.2	18	ok
122.0	14181	300	2.1	17	ok
124.0	14181	308	2.2	17	ok
126.0	14181	278	2.0	16	ok
128.0	14347	295	2.1	16	ok
130.0	14512	285	2.0	16	ok
132.0	14639	286	2.0	16	ok
134.0	14639	286	2.0	16	ok
136.0	14639	301	2.1	16	ok
138.0	14639	307	2.1	17	ok
140.0	14512	322	2.2	18	ok
142.0	14473	250	1.7	14	ok
144.0	14473	322	2.2	18	ok
146.0	14181	307	2.2	17	ok
148.0	14232	308	2.2	17	ok
150.0	14232	243	1.7	14	ok
152.0	14232	235	1.7	13	ok
