t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	3855	36	0.9	8	ok
2.0	3855	36	0.9	8	ok
4.0	3855	36	0.9	8	ok
6.0	3245	36	1.1	9	ok
8.0	3245	37	1.1	9	ok
10.0	3926	37	0.9	8	ok
12.0	4606	37	0.8	6	ok
14.0	4606	37	0.8	7	ok
16.0	5721	38	0.7	5	ok
18.0	4606	39	0.8	7	ok
20.0	3926	42	1.1	9	ok
22.0	4328	51	1.2	9	ok
24.0	4467	51	1.1	9	ok
26.0	4467	44	1.0	8	ok
28.0	4606	44	1.0	8	ok
30.0	4467	44	1.0	8	ok
32.0	4328	45	1.0	8	ok
34.0	3787	45	1.2	10	ok
36.0	3245	46	1.4	11	ok
38.0	3245	48	1.5	12	ok
40.0	3787	61	1.6	13	ok
42.0	3787	91	2.4	19	ok
44.0	3787	96	2.5	20	ok
46.0	4328	100	2.3	18	ok
48.0	4328	100	2.3	18	ok
