t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	6188	160	2.6	21	ok
2.0	6814	187	2.7	22	ok
4.0	6814	200	2.9	23	ok
6.0	7440	199	2.7	21	ok
8.0	7604	199	2.6	21	ok
10.0	7604	192	2.5	20	ok
12.0	7768	203	2.6	21	ok
14.0	7768	215	2.8	22	ok
16.0	7604	227	3.0	24	ok
18.0	7440	242	3.3	26	ok
20.0	7440	254	3.4	27	ok
22.0	7440	249	3.3	27	ok
24.0	7440	235	3.2	25	ok
26.0	7440	263	3.5	28	ok
28.0	6814	329	4.8	39	ok
30.0	6814	402	5.9	47	ok
32.0	6188	392	6.3	51	ok
34.0	5317	392	7.4	59	ok
36.0	3195	381	11.9	96	ok
38.0	3195	344	10.8	86	ok
40.0	3056	333	10.9	87	ok
42.0	3047	350	11.5	92	ok
44.0	3047	298	9.8	78	ok
46.0	3037	176	5.8	46	ok
48.0	2997	148	5.0	40	ok
50.0	2978	403	13.5	108	ok
52.0	2978	606	20.4	163	ok
54.0	2997	606	20.2	162	ok
56.0	2978	606	20.4	163	ok
58.0	2997	238	8.0	64	ok
60.0	2978	231	7.8	62	ok
62.0	2958	231	7.8	63	ok
64.0	2987	231	7.7	62	ok
66.0	2987	234	7.8	63	ok
68.0	3015	231	7.7	61	ok
70.0	3036	218	7.2	58	ok
72.0	3015	157	5.2	42	ok
74.0	2987	87	2.9	23	ok
76.0	3015	77	2.5	20	ok
78.0	2987	129	4.3	35	ok
80.0	2958	164	5.5	44	ok
82.0	2958	198	6.7	54	ok
84.0	2958	188	6.4	51	ok
86.0	2742	177	6.5	52	ok
88.0	2742	178	6.5	52	ok
90.0	2168	178	8.2	66	ok
92.0	1616	178	11.0	88	ok
94.0	1421	175	12.3	99	ok
96.0	1616	184	11.4	91	ok
98.0	1421	88	6.2	49	ok
100.0	1331	80	6.0	48	ok
102.0	1331	69	5.2	41	ok
104.0	1240	62	5.0	40	ok
106.0	1331	58	4.4	35	ok
108.0	1331	57	4.3	34	ok
110.0	1421	54	3.8	31	ok
112.0	1616	51	3.2	25	ok
114.0	1344	51	3.8	30	ok
116.0	1254	39	3.1	25	ok
118.0	1254	37	2.9	24	ok
120.0	1240	37	3.0	24	ok
122.0	1254	39	3.1	25	ok
124.0	1254	39	3.1	25	ok
126.0	1267	40	3.1	25	ok
128.0	1344	40	3.0	24	ok
130.0	1267	42	3.3	26	ok
132.0	1443	43	3.0	24	ok
134.0	1443	48	3.3	26	ok
136.0	1423	53	3.7	30	ok
138.0	1579	60	3.8	30	ok
140.0	1579	64	4.0	32	ok
142.0	1579	65	4.1	33	ok
144.0	1599	65	4.1	33	ok
146.0	1579	66	4.1	33	ok
148.0	1599	70	4.4	35	ok
150.0	1579	69	4.4	35	ok
152.0	1423	55	3.9	31	ok
154.0	1579	41	2.6	21	ok
156.0	1599	44	2.8	22	ok
158.0	1599	54	3.4	27	ok
160.0	1619	60	3.7	30	ok
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0					no_focal
170.0					no_focal
172.0					no_focal
