t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	2787	7	0.2	2	ok
2.0	2787	7	0.3	2	ok
4.0	2787	7	0.3	2	ok
6.0	2653	8	0.3	2	ok
8.0	2787	9	0.3	3	ok
10.0	2787	11	0.4	3	ok
12.0	2787	14	0.5	4	ok
14.0	2787	14	0.5	4	ok
16.0	2787	14	0.5	4	ok
18.0	2787	14	0.5	4	ok
20.0	2787	14	0.5	4	ok
22.0	2787	14	0.5	4	ok
24.0	2787	13	0.5	4	ok
26.0	2653	11	0.4	3	ok
28.0	2921	277	9.5	76	ok
30.0	5153	261	5.1	41	ok
32.0	7386	241	3.3	26	ok
34.0	7742	220	2.8	23	ok
36.0	7742	217	2.8	22	ok
38.0	7742	219	2.8	23	ok
40.0	7386	217	2.9	23	ok
42.0	7386	217	2.9	24	ok
44.0	7386	217	2.9	24	ok
46.0	7742	217	2.8	22	ok
48.0	8097	248	3.1	25	ok
50.0	8097	262	3.2	26	ok
52.0	8097				above_horizon
54.0	7689				above_horizon
56.0	7689				above_horizon
58.0	7689				above_horizon
60.0	7281				above_horizon
62.0	7281				above_horizon
64.0	7281				above_horizon
66.0	7281				above_horizon
68.0	6938	89	1.3	10	ok
70.0	6938	87	1.3	10	ok
72.0	6938	78	1.1	9	ok
74.0	6595	75	1.1	9	ok
76.0	6595	69	1.0	8	ok
78.0	6595	67	1.0	8	ok
