t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	6937	228	3.3	26	ok
2.0	6937	228	3.3	26	ok
4.0	5363	250	4.7	37	ok
6.0	3790	265	7.0	56	ok
8.0	3418	268	7.8	63	ok
10.0	3046	278	9.1	73	ok
12.0	3018	275	9.1	73	ok
14.0	3018	274	9.1	72	ok
16.0	3018	273	9.0	72	ok
18.0	3018	273	9.0	72	ok
20.0	3018	248	8.2	66	ok
22.0	3018	248	8.2	66	ok
24.0	2991	247	8.2	66	ok
26.0	2977	312	10.5	84	ok
28.0	2963	341	11.5	92	ok
30.0	2881	323	11.2	90	ok
32.0	2963	226	7.6	61	ok
34.0	2881	278	9.6	77	ok
36.0	2881	278	9.7	77	ok
38.0	2881	278	9.7	77	ok
40.0	2799	275	9.8	79	ok
42.0	2787	274	9.8	79	ok
44.0	2787	274	9.8	79	ok
46.0	2769	274	9.9	79	ok
48.0	2769	273	9.9	79	ok
50.0	2774	272	9.8	78	ok
52.0	2774	272	9.8	78	ok
54.0	2776	272	9.8	78	ok
56.0	2776	272	9.8	78	ok
58.0	2776	272	9.8	78	ok
60.0	2776	272	9.8	78	ok
62.0	2776	275	9.9	79	ok
64.0	2776	214	7.7	62	ok
66.0	2776	191	6.9	55	ok
68.0	2776	177	6.4	51	ok
70.0	2776	177	6.4	51	ok
72.0	2776	204	7.3	59	ok
74.0	2776	208	7.5	60	ok
76.0	2776	208	7.5	60	ok
78.0	2776	211	7.6	61	ok
80.0	2776	216	7.8	62	ok
82.0	2777	222	8.0	64	ok
84.0	2602	228	8.8	70	ok
86.0	2777	231	8.3	67	ok
88.0					no_focal
90.0					no_focal
92.0					no_focal
94.0					no_focal
96.0					no_focal
98.0					no_focal
100.0					no_focal
102.0					no_focal
104.0					no_focal
106.0					no_focal
108.0					no_focal
110.0					no_focal
112.0					no_focal
114.0	7078	285	4.0	32	ok
116.0	4867	422	8.7	69	ok
118.0	2977				above_horizon
120.0	2977				above_horizon
122.0	2977	528	17.7	142	ok
124.0	2977	481	16.2	129	ok
126.0	2977	433	14.6	116	ok
128.0	2977	429	14.4	115	ok
130.0	2977	429	14.4	115	ok
132.0	2817	131	4.6	37	ok
134.0	2817	118	4.2	33	ok
136.0	2817	125	4.4	35	ok
