track	t_best	t0	t1	bbox	score	lat	lon	alt
0	1.0	1.0	1.0	0,0,25,11	414.8	39.4808000	73.5925443	5160.4
1	12.0	11.0	12.0	812,1070,11,10	248.0	39.4808002	73.5925441	5160.4
2	11.0	11.0	11.0	665,937,8,8	175.2	39.4808001	73.5925439	5160.4
3	15.1	15.1	17.1	122,577,13,2	99.2	39.4808009	73.5925439	5160.4
4	1.0	1.0	1.0	148,149,3,12	88.3	39.4808000	73.5925443	5160.4
5	32.1	27.1	32.1	729,641,8,8	69.6	39.4808020	73.5925432	5160.4
6	11.0	10.0	11.0	593,1071,9,2	59.9	39.4808001	73.5925439	5160.4
7	11.0	11.0	11.0	537,979,8,6	57.3	39.4808001	73.5925439	5160.4
8	20.1	20.1	20.1	955,230,4,7	51.7	39.4808013	73.5925436	5160.4
9	1.0	1.0	1.0	101,93,4,4	49.9	39.4808000	73.5925443	5160.4
10	15.1	15.1	15.1	143,505,2,8	47.7	39.4808009	73.5925439	5160.4
11	18.1	18.1	18.1	561,857,5,8	45.1	39.4808011	73.5925437	5160.4
12	0.0	0.0	0.0	458,736,4,4	43.8	39.4807999	73.5925444	5160.4
13	10.0	10.0	10.0	633,871,7,2	42.6	39.4808001	73.5925438	5160.5
14	15.1	14.1	15.1	10,607,6,2	39.4	39.4808009	73.5925439	5160.4
15	32.1	32.1	32.1	919,279,2,8	38.9	39.4808020	73.5925432	5160.4
16	1.0	1.0	1.0	114,194,3,5	38.4	39.4808000	73.5925443	5160.4
17	33.1	33.1	33.1	721,466,6,2	37.7	39.4808019	73.5925431	5160.4
18	36.1	36.1	36.1	909,905,2,8	37.4	39.4808021	73.5925429	5160.4
19	13.0	13.0	15.1	293,187,2,6	35.8	39.4808004	73.5925440	5160.4
20	40.1	40.1	40.1	0,1043,3,6	35.4	39.4808021	73.5925428	5160.4
21	10.0	10.0	11.0	749,761,2,8	33.4	39.4808001	73.5925438	5160.5
22	13.0	13.0	13.0	185,171,6,4	32.5	39.4808004	73.5925440	5160.4
23	18.1	18.1	18.1	485,830,3,3	29.3	39.4808011	73.5925437	5160.4
24	0.0	0.0	0.0	365,681,2,7	27.9	39.4807999	73.5925444	5160.4
25	13.0	13.0	13.0	49,261,2,6	27.7	39.4808004	73.5925440	5160.4
26	32.1	32.1	32.1	723,559,4,2	24.7	39.4808020	73.5925432	5160.4
27	0.0	0.0	0.0	653,1010,2,7	24.0	39.4807999	73.5925444	5160.4
28	15.1	15.1	15.1	191,437,2,4	23.8	39.4808009	73.5925439	5160.4
29	33.1	33.1	33.1	575,587,4,4	23.8	39.4808019	73.5925431	5160.4
30	32.1	32.1	32.1	865,241,2,4	23.4	39.4808020	73.5925432	5160.4
31	32.1	32.1	32.1	661,507,2,4	23.3	39.4808020	73.5925432	5160.4
32	13.0	13.0	13.0	253,241,4,2	22.4	39.4808004	73.5925440	5160.4
33	1.0	1.0	1.0	23,275,2,3	21.1	39.4808000	73.5925443	5160.4
34	17.1	17.1	17.1	265,1031,4,4	20.1	39.4808012	73.5925437	5160.4
35	36.1	36.1	36.1	1196,599,3,2	18.3	39.4808021	73.5925429	5160.4
36	15.1	15.1	15.1	880,685,3,2	16.7	39.4808009	73.5925439	5160.4
37	14.1	14.1	14.1	207,441,2,3	16.1	39.4808008	73.5925439	5160.4
38	0.0	0.0	0.0	447,844,2,3	14.7	39.4807999	73.5925444	5160.4
39	17.1	17.1	17.1	217,813,4,4	14.5	39.4808012	73.5925437	5160.4
40	0.0	0.0	0.0	527,1002,2,5	12.1	39.4807999	73.5925444	5160.4
41	0.0	0.0	0.0	459,491,4,4	12.0	39.4807999	73.5925444	5160.4
42	18.1	18.1	18.1	565,789,2,3	10.9	39.4808011	73.5925437	5160.4
43	34.1	34.1	34.1	1057,1077,2,3	6.1	39.4808019	73.5925429	5160.4
