track	t_best	t0	t1	bbox	score	lat	lon	alt
0	9.0	0.0	11.0	725,443,28,24	1904.2	39.4899105	73.5973101	4857.8
1	16.0	12.0	16.0	1559,117,24,24	807.2	39.4899099	73.5973103	4857.8
2	8.0	0.0	10.0	1555,124,24,16	616.2	39.4899103	73.5973103	4857.8
3	10.0	2.0	11.0	641,441,5,16	193.8	39.4899104	73.5973100	4857.8
4	16.0	12.0	16.0	878,504,7,8	148.6	39.4899099	73.5973103	4857.8
5	1.0	0.0	8.0	1857,353,15,3	147.2	39.4899100	73.5973106	4857.7
6	4.0	0.0	8.0	997,762,8,8	128.9	39.4899101	73.5973107	4857.7
7	2.0	2.0	2.0	1695,41,5,6	91.8	39.4899101	73.5973105	4857.7
8	16.0	12.0	16.0	1715,155,8,4	88.7	39.4899099	73.5973103	4857.8
9	14.0	12.0	15.0	1616,139,5,6	86.6	39.4899099	73.5973106	4857.8
10	4.0	0.0	4.0	1044,259,13,4	74.7	39.4899101	73.5973107	4857.7
11	0.0	0.0	2.0	708,953,7,4	73.9	39.4899101	73.5973105	4857.7
12	5.0	4.0	5.0	1785,153,8,2	65.1	39.4899103	73.5973105	4857.7
13	13.0	12.0	16.0	1492,93,4,9	61.0	39.4899102	73.5973105	4857.8
14	14.0	14.0	14.0	838,0,4,4	40.2	39.4899099	73.5973106	4857.8
15	16.0	16.0	16.0	610,826,4,3	37.8	39.4899099	73.5973103	4857.8
16	4.0	4.0	5.0	1108,258,4,3	29.4	39.4899101	73.5973107	4857.7
17	1.0	1.0	1.0	414,1029,3,2	21.5	39.4899100	73.5973106	4857.7
18	9.0	9.0	9.0	977,473,4,2	15.5	39.4899105	73.5973101	4857.8
