track	t_best	t0	t1	bbox	score	lat	lon	alt
0	40.0	35.0	40.0	985,391,76,28	3975.3	39.4855846	73.5951135	4985.2
1	37.0	35.0	40.0	1069,339,68,30	2913.2	39.4855841	73.5951130	4985.2
2	44.0	42.0	44.0	1109,259,132,33	2898.0	39.4855849	73.5951138	4985.2
3	21.0	18.0	29.0	1298,425,34,21	1697.4	39.4855853	73.5951138	4985.1
4	43.0	42.0	43.0	1281,205,48,20	1572.3	39.4855847	73.5951138	4985.2
5	22.0	16.0	23.0	1073,401,44,21	1386.8	39.4855833	73.5951120	4985.1
6	45.0	44.0	45.0	1037,401,30,22	1186.7	39.4855848	73.5951140	4985.2
7	34.0	34.0	40.0	1884,467,36,15	1175.1	39.4855840	73.5951130	4985.2
8	44.0	44.0	44.0	1249,303,40,16	1166.6	39.4855849	73.5951138	4985.2
9	46.0	46.0	54.1	801,491,40,16	1080.6	39.4855847	73.5951139	4985.2
10	43.0	42.0	43.0	269,962,22,39	1068.0	39.4855847	73.5951138	4985.2
11	43.0	42.0	43.0	547,761,28,16	1045.5	39.4855847	73.5951138	4985.2
12	23.0	19.0	23.0	1083,403,34,18	1012.9	39.4855830	73.5951120	4985.1
13	43.0	42.0	44.0	673,937,44,32	954.2	39.4855847	73.5951138	4985.2
14	43.0	43.0	43.0	1374,241,37,20	941.1	39.4855847	73.5951138	4985.2
15	52.1	46.0	54.1	811,561,30,21	938.0	39.4855846	73.5951136	4985.2
16	43.0	42.0	43.0	673,805,24,20	921.6	39.4855847	73.5951138	4985.2
17	43.0	42.0	43.0	495,921,20,24	884.8	39.4855847	73.5951138	4985.2
18	8.0	0.0	17.0	1753,347,35,38	868.9	39.4857233	73.5952435	4980.4
19	4.0	0.0	5.0	1774,425,33,17	833.3	39.4857718	73.5952903	4978.2
20	43.0	42.0	44.0	159,544,26,23	822.3	39.4855847	73.5951138	4985.2
21	26.0	20.0	29.0	265,236,14,29	816.9	39.4855835	73.5951125	4985.2
22	37.0	35.0	40.0	949,549,22,20	802.5	39.4855841	73.5951130	4985.2
23	26.0	24.0	32.0	761,319,24,22	754.9	39.4855835	73.5951125	4985.2
24	18.0	18.0	19.0	1021,1033,17,18	751.2	39.4855952	73.5951228	4984.3
25	13.0	6.0	16.0	1893,581,27,52	699.6	39.4856472	73.5951715	4982.9
26	6.0	3.0	9.0	1569,167,20,24	694.8	39.4857525	73.5952706	4979.4
27	12.0	6.0	12.0	1865,503,28,46	694.7	39.4856615	73.5951851	4982.2
28	42.0	42.0	44.0	276,417,18,28	687.4	39.4855846	73.5951138	4985.2
29	5.0	0.0	13.0	515,235,32,24	682.3	39.4857639	73.5952818	4978.8
30	23.0	19.0	23.0	1621,509,48,8	680.2	39.4855830	73.5951120	4985.1
31	43.0	42.0	46.0	1757,747,42,24	672.5	39.4855847	73.5951138	4985.2
32	43.0	42.0	54.1	1484,533,25,10	665.9	39.4855847	73.5951138	4985.2
33	42.0	42.0	48.0	1205,703,35,24	641.3	39.4855846	73.5951138	4985.2
34	42.0	42.0	43.0	186,769,23,32	633.1	39.4855846	73.5951138	4985.2
35	19.0	18.0	30.0	1617,464,27,14	628.9	39.4855893	73.5951173	4984.5
36	22.0	19.0	23.0	1042,385,19,16	612.8	39.4855833	73.5951120	4985.1
37	43.0	43.0	44.0	413,833,22,14	607.6	39.4855847	73.5951138	4985.2
38	54.1	46.0	54.1	223,115,27,22	583.2	39.4855846	73.5951134	4985.2
39	24.0	24.0	24.0	1851,700,20,24	581.8	39.4855833	73.5951122	4985.2
40	28.0	27.0	29.0	665,175,32,14	554.7	39.4855834	73.5951127	4985.2
41	10.0	4.0	10.0	1801,401,8,24	532.3	39.4856925	73.5952142	4981.2
42	22.0	18.0	30.0	1601,505,25,10	512.6	39.4855833	73.5951120	4985.1
43	37.0	36.0	39.0	1363,473,16,18	511.4	39.4855841	73.5951130	4985.2
44	44.0	44.0	44.0	745,841,28,24	486.6	39.4855849	73.5951138	4985.2
45	17.0	13.0	17.0	1887,969,14,16	474.0	39.4856028	73.5951300	4984.2
46	43.0	42.0	43.0	32,1046,11,21	462.1	39.4855847	73.5951138	4985.2
47	2.0	0.0	4.0	1903,515,14,16	459.8	39.4857764	73.5952955	4977.6
48	44.0	44.0	44.0	633,717,24,12	456.7	39.4855849	73.5951138	4985.2
49	26.0	26.0	32.0	1186,443,28,7	449.6	39.4855835	73.5951125	4985.2
50	43.0	43.0	50.1	1120,683,9,17	441.6	39.4855847	73.5951138	4985.2
51	42.0	42.0	42.0	1049,131,36,24	440.2	39.4855846	73.5951138	4985.2
52	43.0	43.0	43.0	1113,299,18,18	433.9	39.4855847	73.5951138	4985.2
53	44.0	44.0	45.0	182,673,7,24	424.7	39.4855849	73.5951138	4985.2
54	44.0	44.0	45.0	217,935,16,20	401.7	39.4855849	73.5951138	4985.2
55	25.0	24.0	25.0	1873,775,17,13	398.8	39.4855835	73.5951123	4985.2
56	43.0	43.0	47.0	1391,727,26,10	395.1	39.4855847	73.5951138	4985.2
57	33.0	33.0	33.0	1785,885,16,11	392.6	39.4855836	73.5951129	4985.2
58	25.0	22.0	25.0	1482,500,23,11	388.8	39.4855835	73.5951123	4985.2
59	18.0	18.0	19.0	1092,1054,14,12	380.5	39.4855952	73.5951228	4984.3
60	31.0	30.0	35.0	1235,687,15,9	376.6	39.4855837	73.5951126	4985.2
61	54.1	52.1	54.1	251,125,14,17	374.2	39.4855846	73.5951134	4985.2
62	33.0	33.0	34.0	485,523,12,14	362.3	39.4855836	73.5951129	4985.2
63	25.0	24.0	25.0	1737,678,16,17	358.9	39.4855835	73.5951123	4985.2
64	12.0	11.0	17.0	1833,401,20,12	357.8	39.4856615	73.5951851	4982.2
65	42.0	42.0	44.0	579,811,12,12	351.7	39.4855846	73.5951138	4985.2
66	42.0	42.0	42.0	0,595,9,20	348.0	39.4855846	73.5951138	4985.2
67	33.0	26.0	33.0	98,443,13,26	347.6	39.4855836	73.5951129	4985.2
68	42.0	42.0	42.0	841,635,12,10	344.5	39.4855846	73.5951138	4985.2
69	45.0	45.0	45.0	1001,446,26,7	341.8	39.4855848	73.5951140	4985.2
70	44.0	44.0	44.0	1370,533,19,8	334.0	39.4855849	73.5951138	4985.2
71	12.0	8.0	12.0	1795,438,9,23	328.8	39.4856615	73.5951851	4982.2
72	2.0	1.0	4.0	1841,452,15,13	327.4	39.4857764	73.5952955	4977.6
73	44.0	44.0	44.0	867,649,14,12	325.1	39.4855849	73.5951138	4985.2
74	45.0	41.0	45.0	1767,535,11,11	320.8	39.4855848	73.5951140	4985.2
75	16.0	12.0	17.0	1248,493,12,16	319.4	39.4856116	73.5951381	4983.9
